Source_ID,Target_ID,Relationship,Weight,Shape
0,1,Trayectoria probable,0.5,cambiante
7,8,Trayectoria probable,0.5,cambiante
7,9,Trayectoria probable,0.5,cambiante
8,9,Trayectoria probable,0.5,cambiante
10,11,Trayectoria probable,0.5,cambiante
10,12,Trayectoria probable,0.5,cambiante
10,13,Trayectoria probable,0.5,cambiante
11,12,Trayectoria probable,0.5,cambiante
11,13,Trayectoria probable,0.5,cambiante
12,13,Trayectoria probable,0.5,cambiante
14,15,Trayectoria probable,0.5,cambiante
24,25,Trayectoria probable,0.5,cambiante
38,39,Trayectoria probable,0.5,cambiante
40,41,Trayectoria probable,0.5,cambiante
42,43,Trayectoria probable,0.5,cambiante
45,46,Trayectoria probable,0.5,cambiante
62,63,Trayectoria probable,0.5,cambiante
62,64,Trayectoria probable,0.5,cambiante
62,65,Trayectoria probable,0.5,cambiante
63,64,Trayectoria probable,0.5,cambiante
63,65,Trayectoria probable,0.5,cambiante
64,65,Trayectoria probable,0.5,cambiante
64,66,Trayectoria probable,0.5,cambiante
65,66,Trayectoria probable,0.5,cambiante
68,69,Trayectoria probable,0.5,cambiante
70,71,Trayectoria probable,0.5,cambiante
73,74,Trayectoria probable,0.5,cambiante
73,75,Trayectoria probable,0.5,cambiante
73,76,Trayectoria probable,0.5,cambiante
74,75,Trayectoria probable,0.5,cambiante
74,76,Trayectoria probable,0.5,cambiante
75,76,Trayectoria probable,0.5,cambiante
77,78,Trayectoria probable,0.5,cambiante
77,79,Trayectoria probable,0.5,cambiante
78,79,Trayectoria probable,0.5,cambiante
86,87,Trayectoria probable,0.5,cambiante
88,89,Trayectoria probable,0.5,cambiante
91,92,Trayectoria probable,0.5,cambiante
91,93,Trayectoria probable,0.5,cambiante
92,93,Trayectoria probable,0.5,cambiante
93,94,Trayectoria probable,0.5,cambiante
93,95,Trayectoria probable,0.5,cambiante
93,96,Trayectoria probable,0.5,cambiante
94,95,Trayectoria probable,0.5,cambiante
94,96,Trayectoria probable,0.5,cambiante
95,96,Trayectoria probable,0.5,cambiante
96,97,Trayectoria probable,0.5,cambiante
101,102,Trayectoria probable,0.5,cambiante
112,113,Trayectoria probable,0.5,cambiante
115,116,Trayectoria probable,0.5,cambiante
128,129,Trayectoria probable,0.5,cambiante
151,152,Trayectoria probable,0.5,cambiante
151,153,Trayectoria probable,0.5,cambiante
152,153,Trayectoria probable,0.5,cambiante
155,156,Trayectoria probable,0.5,cambiante
156,157,Trayectoria probable,0.5,cambiante
173,174,Trayectoria probable,0.5,cambiante
176,177,Trayectoria probable,0.5,cambiante
181,182,Contexto estratégico,0.3,cambiante
181,270,Contexto estratégico,0.3,cambiante
181,280,Contexto estratégico,0.3,cambiante
182,270,Contexto estratégico,0.3,cambiante
182,280,Contexto estratégico,0.3,cambiante
189,190,Trayectoria probable,0.5,cambiante
189,191,Trayectoria probable,0.5,cambiante
190,191,Trayectoria probable,0.5,cambiante
207,208,Trayectoria probable,0.5,cambiante
207,209,Trayectoria probable,0.5,cambiante
208,209,Trayectoria probable,0.5,cambiante
212,213,Trayectoria probable,0.5,cambiante
