DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
13	2	2026	21:13	Ladson	EEUU	Cambiante
13	2	2026	4:30	Middleburg	EEUU	Cambiante
8	2	2026	12:15:00	Port Charlotte	EEUU	Cambiante
4	2	2026	6:45:00	Ottawa	Canadá	Cambiante
2	2	2026	21:00:00	Newfield	EEUU	Cambiante
29	1	2026	1:30	Barrie	Canadá	Cambiante
26	1	2026	23:00	Branford	EEUU	Cambiante
23	1	2026	17:09	Glendale	EEUU	Cambiante
22	1	2026	20:40	Chandler	EEUU	Cambiante
22	1	2026	20:15	Guerneville	EEUU	Cambiante
18	1	2026	19:30	No especificado	No especificado	Cambiante
18	1	2026	19:00	Plano	EEUU	Cambiante
18	1	2026	18:04	El Moro	EEUU	Cambiante
18	1	2026	4:55	Auburn	EEUU	Cambiante
14	1	2026	1:10	Odesa	EEUU	Cambiante
13	1	2026	21:54	Indore	India	Cambiante
10	1	2026	10:25:00	El Cairo	EEUU	Cambiante
9	1	2026	18:21:00	West End	Jamaica	Cambiante
7	1	2026	17:36:00	Milwaukie	EEUU	Cambiante
3	1	2026	18:06:00	Municipio de Chatham	EEUU	Cambiante
31	12	2025	16:00	San Carlos	EEUU	Cambiante
29	12	2025	18:53	Purdy	EEUU	Cambiante
25	12	2025	22:29	Salt Lake City	EEUU	Cambiante
23	12	2025	23:45	Asheville	EEUU	Cambiante
17	12	2025	6:06	Key Largo	EEUU	Cambiante
16	12	2025	14:30	South Shields	Reino Unido	Cambiante
12	12	2025	15:34:00	East Kilbride	Reino Unido	Cambiante
11	12	2025	17:06:00	Parque Primavera	EEUU	Cambiante
9	12	2025	21:00:00	Nogal	EEUU	Cambiante
8	12	2025	18:04:00	Bryan	EEUU	Cambiante
8	12	2025	18:00:00	Molinos Caddo	EEUU	Cambiante
7	12	2025	18:00:00	Aguas quietas	EEUU	Cambiante
6	12	2025	19:00:00	Lenox	EEUU	Cambiante
5	12	2025	4:00:00	Bartonsville	EEUU	Cambiante
4	12	2025	12:00:00	Dordrecht	Países Bajos	Cambiante
2	12	2025	18:00:00	DeRidder	EEUU	Cambiante
30	11	2025	13:52	Bradenton	EEUU	Cambiante
28	11	2025	16:10	Spokane	EEUU	Cambiante
25	11	2025	20:33	Norte Superior de Sídney	Canadá	Cambiante
25	11	2025	17:30	Phoenix	EEUU	Cambiante
23	11	2025	11:51	Nashville	EEUU	Cambiante
