DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
19	2	2026	19:30	Castle Rock	EEUU	Cigarro
19	2	2026	2:45	Coeur d'Alene	EEUU	Cigarro
16	2	2026	19:00	Playa de Pompano	EEUU	Cigarro
14	2	2026	13:02	Chico	EEUU	Cigarro
5	2	2026	14:00:00	Hawthorne	EEUU	Cigarro
25	1	2026	22:10	Gardendale	EEUU	Cigarro
15	1	2026	17:46	Decatur	EEUU	Cigarro
15	1	2026	14:00	Corpus Christi	EEUU	Cigarro
14	1	2026	21:07	Xique Xique	Brasil	Cigarro
13	1	2026	1:30	Machico	Portugal	Cigarro
12	1	2026	18:36:00	Cuiabá	Brasil	Cigarro
10	1	2026	14:05:00	São Paulo	Brasil	Cigarro
2	1	2026	19:23:00	Alejandría	EEUU	Cigarro
2	1	2026	19:07:00	Mansfield	Reino Unido	Cigarro
18	12	2025	7:31	Frisco	EEUU	Cigarro
8	12	2025	18:07:00	Lake Charles	EEUU	Cigarro
3	12	2025	14:55:00	Greensboro	EEUU	Cigarro
29	11	2025	20:20	Linwood	EEUU	Cigarro
28	11	2025	11:30	Playa de Huntington	EEUU	Cigarro
26	11	2025	15:21	Los Ángeles	EEUU	Cigarro
20	11	2025	19:00	No especificado	Reino Unido	Cigarro
16	11	2025	11:50	Rosemont	EEUU	Cigarro
16	11	2025	4:30	College Park	EEUU	Cigarro
12	11	2025	22:41:00	Newland	EEUU	Cigarro
12	11	2025	18:30:00	Valle Irlandés	Canadá	Cigarro
10	11	2025	18:00:00	Sion	EEUU	Cigarro
10	11	2025	12:00:00	Duncanville	EEUU	Cigarro
7	11	2025	17:25:00	Katni	India	Cigarro
4	11	2025	18:00:00	Nueva York	EEUU	Cigarro
4	11	2025	18:00:00	Mansión Briarcliff	EEUU	Cigarro
4	11	2025	13:05:00	Guilderland	EEUU	Cigarro
3	11	2025	16:12:00	No especificado	EEUU	Cigarro
29	10	2025	6:45	Calgary	Canadá	Cigarro
21	10	2025	22:12	Erie	EEUU	Cigarro
20	10	2025	6:11	Berlín	Alemania	Cigarro
16	10	2025	5:34	Santa Rosa	EEUU	Cigarro
13	10	2025	19:26	Sarasota	EEUU	Cigarro
9	10	2025	18:46:00	Torrance	EEUU	Cigarro
9	10	2025	12:53:00	Gaithersburg	EEUU	Cigarro
9	10	2025	11:11:00	Allentown	EEUU	Cigarro
8	10	2025	7:00:00	Riverside	EEUU	Cigarro
7	10	2025	21:05:00	Irvine	EEUU	Cigarro
6	10	2025	10:45:00	Lamer	EEUU	Cigarro
2	10	2025	19:20:00	Washington	EEUU	Cigarro
25	9	2025	20:45	Duncan	Canadá	Cigarro
25	9	2025	19:10	Playa Severn	Reino Unido	Cigarro
25	9	2025	5:40	Cheyenne	EEUU	Cigarro
25	9	2025	5:18	Waukesha	EEUU	Cigarro
22	9	2025	16:15	Tucson	EEUU	Cigarro
22	9	2025	12:21	Madisonville	EEUU	Cigarro
17	9	2025	23:30	Middleborough	EEUU	Cigarro
9	9	2025	22:30:00	Hagerman	EEUU	Cigarro
7	9	2025	21:12:00	Hünfelden	Alemania	Cigarro
7	9	2025	17:45:00	Glen Ellyn	EEUU	Cigarro
6	9	2025	23:00:00	Oslo	Noruega	Cigarro
5	9	2025	5:20:00	Everett	EEUU	Cigarro
4	9	2025	9:53:00	Roswell	EEUU	Cigarro
2	9	2025	12:00:00	Ventura	EEUU	Cigarro
31	8	2025	11:10	Santa Rosa	EEUU	Cigarro
29	8	2025	15:40	Lancaster	EEUU	Cigarro
27	8	2025	22:00	Tacoma	EEUU	Cigarro
25	8	2025	19:10	Keystone Heights	EEUU	Cigarro
25	8	2025	14:00	No especificado	EEUU	Cigarro
18	8	2025	12:10	Jenks	EEUU	Cigarro
16	8	2025	13:00	Rómulo	EEUU	Cigarro
15	8	2025	9:30	Syracuse	EEUU	Cigarro
14	8	2025	11:30	Maricopa	EEUU	Cigarro
12	8	2025	4:34:00	Riverside	EEUU	Cigarro
7	8	2025	20:53:00	Magnolia	EEUU	Cigarro
6	8	2025	14:50:00	Lawrenceville	EEUU	Cigarro
5	8	2025	23:00:00	Fallon	EEUU	Cigarro
4	8	2025	20:30:00	Andreas	Isla de Man	Cigarro
4	8	2025	5:07:00	Evergreen	EEUU	Cigarro
4	8	2025	5:06:00	Thornton	EEUU	Cigarro
4	8	2025	4:30:00	Chicago	EEUU	Cigarro
2	8	2025	10:50:00	Lexington	EEUU	Cigarro
1	8	2025	21:00:00	Wheat Ridge	EEUU	Cigarro
30	7	2025	14:00	Lacona	Italia	Cigarro
24	7	2025	8:45	Campo de batalla	EEUU	Cigarro
19	7	2025	23:37	Texas City	EEUU	Cigarro
17	7	2025	12:21	West Pasco	EEUU	Cigarro
16	7	2025	20:00	Playa Jensen	EEUU	Cigarro
9	7	2025	12:45:00	Parque Buena	EEUU	Cigarro
6	7	2025	23:04:00	Las Vegas	EEUU	Cigarro
5	7	2025	22:43:00	Charlottesville	EEUU	Cigarro
3	7	2025	19:00:00	Belfast	Reino Unido	Cigarro
2	7	2025	22:30:00	Tallahassee	EEUU	Cigarro
1	7	2025	20:25:00	Hermanos	EEUU	Cigarro
29	6	2025	12:55	Kutina	Croacia	Cigarro
25	6	2025	2:00	Yreka	EEUU	Cigarro
24	6	2025	20:30	Abbotsford	Canadá	Cigarro
23	6	2025	21:00	Union City	EEUU	Cigarro
23	6	2025	3:55	Lacey	EEUU	Cigarro
22	6	2025	19:30	East Greenwich	EEUU	Cigarro
22	6	2025	15:00	Puerto del lago	EEUU	Cigarro
18	6	2025	15:10	Alma	EEUU	Cigarro
11	6	2025	18:15:00	Ciudad del Vaticano	Ciudad del Vaticano	Cigarro
11	6	2025	18:13:00	No especificado	Italia	Cigarro
10	6	2025	23:30:00	Matlock	Reino Unido	Cigarro
8	6	2025	19:44:00	Brighton y Hove	Reino Unido	Cigarro
4	6	2025	18:59:00	Colorado Springs	EEUU	Cigarro
2	6	2025	0:00:00	Marysville	EEUU	Cigarro
29	5	2025	15:00	Pamukkale	Turquía	Cigarro
27	5	2025	21:35	Murrieta	EEUU	Cigarro
27	5	2025	20:28	Baton Rouge	EEUU	Cigarro
27	5	2025	18:15	Virden	EEUU	Cigarro
23	5	2025	18:45	Huracán	EEUU	Cigarro
21	5	2025	23:43	Folkston	EEUU	Cigarro
21	5	2025	20:00	Sonoita	EEUU	Cigarro
17	5	2025	19:12	Sahuarita	EEUU	Cigarro
17	5	2025	13:16	Ann Arbor	EEUU	Cigarro
15	5	2025	0:12	Stoney Stanton	Reino Unido	Cigarro
14	5	2025	14:19	Buildwas	Reino Unido	Cigarro
13	5	2025	8:40	San José	EEUU	Cigarro
12	5	2025	9:11:00	Blairsville	EEUU	Cigarro
10	5	2025	21:20:00	Cataratas Sioux	EEUU	Cigarro
10	5	2025	18:05:00	Historia	EEUU	Cigarro
10	5	2025	14:30:00	Kingower	Australia	Cigarro
5	5	2025	0:05:00	San Marcos	EEUU	Cigarro
2	5	2025	23:15:00	Toyama	Japón	Cigarro
28	4	2025	20:26	Colón	EEUU	Cigarro
