DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
18	2	2026	11:00	No especificado	Puerto Rico	Cilindro
24	1	2026	18:54	Guarapari	Brasil	Cilindro
20	1	2026	20:59	Osasco	Brasil	Cilindro
20	1	2026	6:00	Brockton	EEUU	Cilindro
19	1	2026	23:42	No especificado	Brasil	Cilindro
18	1	2026	2:59	Bombinhas	Brasil	Cilindro
17	1	2026	21:22	Arlington	EEUU	Cilindro
15	1	2026	5:30	Oro	EEUU	Cilindro
12	1	2026	20:03:00	Nova Serrana	Brasil	Cilindro
2	1	2026	13:43:00	Antioquía	EEUU	Cilindro
29	12	2025	12:00	San Francisco	EEUU	Cilindro
27	12	2025	16:16	Capilla Wesley	EEUU	Cilindro
22	12	2025	17:00	Bristol	EEUU	Cilindro
19	12	2025	15:00	Bellingham	EEUU	Cilindro
7	12	2025	4:00:00	Peristeri	Grecia	Cilindro
28	11	2025	17:00	Santa Cruz	EEUU	Cilindro
22	11	2025	16:30	Topeka	EEUU	Cilindro
19	11	2025	17:50	Londres	Reino Unido	Cilindro
13	11	2025	9:45	Tullahoma	EEUU	Cilindro
11	11	2025	12:22:00	Petaluma	EEUU	Cilindro
8	11	2025	19:25:00	Swansea	EEUU	Cilindro
6	11	2025	10:14:00	Hamburgo	EEUU	Cilindro
27	10	2025	7:00	Halcón pescador	EEUU	Cilindro
21	10	2025	20:58	Santa Rosa	EEUU	Cilindro
20	10	2025	14:30	Woodburn	EEUU	Cilindro
17	10	2025	14:58	Diana	EEUU	Cilindro
17	10	2025	9:00	Aberdeen	EEUU	Cilindro
17	10	2025	7:26	Gotemburgo	Suecia	Cilindro
16	10	2025	16:14	Weybridge	Reino Unido	Cilindro
13	10	2025	19:30	Englewood	EEUU	Cilindro
10	10	2025	8:49:00	Ayer	EEUU	Cilindro
6	10	2025	9:00:00	Richmond	EEUU	Cilindro
5	10	2025	15:15:00	Porterville	EEUU	Cilindro
26	9	2025	8:20	Ann Arbor	EEUU	Cilindro
25	9	2025	18:45	Logia Roja	EEUU	Cilindro
24	9	2025	14:18	Winston-Salem	EEUU	Cilindro
22	9	2025	17:30	Rinlander	EEUU	Cilindro
21	9	2025	8:48	Lancaster	EEUU	Cilindro
20	9	2025	12:35	Sayreville	EEUU	Cilindro
20	9	2025	7:30	Urbanizaciones Rainbow Lakes	EEUU	Cilindro
19	9	2025	21:13	Eindhoven	Países Bajos	Cilindro
19	9	2025	20:33	East Hanningfield	Reino Unido	Cilindro
9	9	2025	16:00:00	Dryden	Canadá	Cilindro
30	8	2025	7:25	Kingston upon Hull	Reino Unido	Cilindro
25	8	2025	20:45	Edisto Beach	EEUU	Cilindro
17	8	2025	15:30	Mount Solon	EEUU	Cilindro
15	8	2025	17:55	Cottondale	EEUU	Cilindro
15	8	2025	0:07	Mineral	EEUU	Cilindro
13	8	2025	6:40	Cape Schanck	Australia	Cilindro
12	8	2025	23:41:00	Independence	EEUU	Cilindro
30	7	2025	2:00	Lethbridge	Canadá	Cilindro
29	7	2025	23:46	Avalon	EEUU	Cilindro
23	7	2025	13:53	Ashford	EEUU	Cilindro
22	7	2025	18:46	Buffalo	EEUU	Cilindro
21	7	2025	18:15	Bergen	EEUU	Cilindro
20	7	2025	16:30	Port Jervis	EEUU	Cilindro
18	7	2025	18:45	Ossipee	EEUU	Cilindro
16	7	2025	18:15	Sequim	EEUU	Cilindro
13	7	2025	17:47	Haverhill	EEUU	Cilindro
6	7	2025	22:55:00	Scottsbluff	EEUU	Cilindro
4	7	2025	4:40:00	Sitka	EEUU	Cilindro
2	7	2025	8:36:00	Leamington	Canadá	Cilindro
1	7	2025	22:15:00	Bowmanville	Canadá	Cilindro
29	6	2025	10:15	East Providence	EEUU	Cilindro
28	6	2025	16:45	Port Huron	EEUU	Cilindro
12	6	2025	11:40:00	Santa Clarita	EEUU	Cilindro
11	6	2025	2:50:00	Chaseburg	EEUU	Cilindro
2	6	2025	22:30:00	Deer Park	EEUU	Cilindro
