DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
23	2	2026	23:45	Saugerties	EEUU	Círculo
20	2	2026	17:21	Norfolk	EEUU	Círculo
18	2	2026	20:38	Owasso	EEUU	Círculo
17	2	2026	7:17	Holanda	EEUU	Círculo
14	2	2026	19:00	Elmhurst	EEUU	Círculo
14	2	2026	5:07	Elyria	EEUU	Círculo
14	2	2026	0:42	Rio Verde	EEUU	Círculo
13	2	2026	16:15	Vantage	EEUU	Círculo
10	2	2026	19:15:00	North Vancouver	Canadá	Círculo
7	2	2026	21:21:00	Charlotte	EEUU	Círculo
4	2	2026	17:15:00	Linn Creek	EEUU	Círculo
2	2	2026	2:30:00	Boise	EEUU	Círculo
31	1	2026	11:30		No especificado	Círculo
28	1	2026	17:10		Reino Unido	Círculo
27	1	2026	11:30	Coyote Springs	EEUU	Círculo
26	1	2026	18:58	Corongiu	Italia	Círculo
24	1	2026	19:00	Cataratas Sioux	EEUU	Círculo
21	1	2026	21:32		Brasil	Círculo
21	1	2026	4:33	Valle	EEUU	Círculo
20	1	2026	22:00	Flinders	Australia	Círculo
20	1	2026	19:45	Sayulita	México	Círculo
20	1	2026	19:30	Springfield	EEUU	Círculo
20	1	2026	10:22	Goiânia	Brasil	Círculo
20	1	2026	4:33	Santa Cruz do Sul	Brasil	Círculo
19	1	2026	21:30	Pauline	EEUU	Círculo
18	1	2026	19:10	Cleburne	EEUU	Círculo
18	1	2026	19:05	Shawnee	EEUU	Círculo
18	1	2026	18:04	El Paso	EEUU	Círculo
16	1	2026	21:41		Brasil	Círculo
16	1	2026	17:19	Weaverham	Reino Unido	Círculo
16	1	2026	7:12	Richmond	EEUU	Círculo
14	1	2026	6:20	Valle de Prescott	EEUU	Círculo
13	1	2026	1:27	Loscoe	Reino Unido	Círculo
13	1	2026	0:41		Brasil	Círculo
12	1	2026	20:28:00	Olinda	Brasil	Círculo
11	1	2026	23:54:00		Brasil	Círculo
11	1	2026	19:41:00	Viçosa	Brasil	Círculo
11	1	2026	19:00:00	Pryor	EEUU	Círculo
11	1	2026	18:13:00	Sete Lagoas	Brasil	Círculo
10	1	2026	0:10:00	Macclesfield	Reino Unido	Círculo
9	1	2026	19:13:00	Comayaguela	Honduras	Círculo
9	1	2026	14:30:00	Cedar City	EEUU	Círculo
