DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
14	2	2026	1:40	Mansfield	EEUU	Bola de fuego
4	2	2026	18:46:00	Valle de San Tan	EEUU	Bola de fuego
27	1	2026	20:10	Santa Rosa	EEUU	Bola de fuego
27	1	2026	18:32	Lago Elsinore	EEUU	Bola de fuego
22	1	2026	21:15	Toledo	EEUU	Bola de fuego
10	1	2026	0:10:00	Miami	EEUU	Bola de fuego
31	12	2025	19:46	Everett	EEUU	Bola de fuego
20	12	2025	18:00	Stavanger	Noruega	Bola de fuego
18	12	2025	5:37	Hamlin	EEUU	Bola de fuego
14	12	2025	20:35	Dayton	EEUU	Bola de fuego
22	11	2025	19:40	Manantiales Tarpon	EEUU	Bola de fuego
11	11	2025	21:16:00	Raleigh	EEUU	Bola de fuego
10	11	2025	18:29:00	Harrison	EEUU	Bola de fuego
8	11	2025	6:15:00	Winter Haven	EEUU	Bola de fuego
5	11	2025	19:27:00	Sarzedo	Brasil	Bola de fuego
4	11	2025	18:01:00	Tewksbury	EEUU	Bola de fuego
3	11	2025	19:09:00	Foresthill	EEUU	Bola de fuego
2	11	2025	21:00:00	Williston	EEUU	Bola de fuego
1	11	2025	3:00:00	Melbourne	EEUU	Bola de fuego
31	10	2025	19:54	Cumming	EEUU	Bola de fuego
29	10	2025	23:11	Kaul	India	Bola de fuego
29	10	2025	19:00	McAllen	EEUU	Bola de fuego
26	10	2025	19:10	Kankakee	EEUU	Bola de fuego
20	10	2025	19:45	Playa Delray	EEUU	Bola de fuego
14	10	2025	19:00	Laramie	EEUU	Bola de fuego
8	10	2025	6:55:00	DeLand	EEUU	Bola de fuego
26	9	2025	4:00	Phoenix	EEUU	Bola de fuego
20	9	2025	2:30	Cihanbeyli	Turquía	Bola de fuego
2	9	2025	21:00:00	Florida City	EEUU	Bola de fuego
31	8	2025	21:27	Exton	EEUU	Bola de fuego
29	8	2025	2:36	Hong Kong	EEUU	Bola de fuego
28	8	2025	21:30	Río Garden	Canadá	Bola de fuego
25	8	2025	21:25	Dos ríos	EEUU	Bola de fuego
20	8	2025	21:50	Tintwistle	Reino Unido	Bola de fuego
9	8	2025	23:16:00	Lago Caroline	EEUU	Bola de fuego
3	8	2025	2:33:00	Didim	Turquía	Bola de fuego
2	8	2025	21:02:00	Rey Jorge	EEUU	Bola de fuego
25	7	2025	22:01	Grandes Rápidos	EEUU	Bola de fuego
23	7	2025	20:45	Elyria	EEUU	Bola de fuego
22	7	2025	23:01	Toronto	Canadá	Bola de fuego
15	7	2025	22:19	Marana	EEUU	Bola de fuego
10	7	2025	23:00:00	No especificado	México	Bola de fuego
9	7	2025	21:58:00	Vergennes	EEUU	Bola de fuego
