DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
13	2	2026	21:32	Roscommon	EEUU	Cruz
6	2	2026	18:15:00	Edina	EEUU	Cruz
17	1	2026	18:10	Lucan	Irlanda	Cruz
17	12	2025	14:02	Denver	EEUU	Cruz
13	12	2025	17:49	Raleigh	EEUU	Cruz
24	11	2025	20:27	Pretoria	Sudáfrica	Cruz
26	10	2025	17:00	Northbrook	EEUU	Cruz
19	10	2025	14:25	Sacramento	EEUU	Cruz
10	10	2025	12:10:00	La Colonia	EEUU	Cruz
4	10	2025	18:30:00	Warrenton	EEUU	Cruz
1	10	2025	19:15:00	Scranton	EEUU	Cruz
28	9	2025	21:00	Corralejo	España	Cruz
17	9	2025	13:43	No especificado	Irak	Cruz
10	8	2025	23:45:00	Provo	EEUU	Cruz
24	7	2025	23:15	Jonesborough	EEUU	Cruz
17	7	2025	23:00	No especificado	Egipto	Cruz
26	6	2025	1:30	Madrid	España	Cruz
17	6	2025	19:25	São Paulo	Brasil	Cruz
7	6	2025	2:00:00	Chandler	EEUU	Cruz
5	6	2025	1:00:00	Vaška	Croacia	Cruz
28	5	2025	6:05	Gaffney	EEUU	Cruz
28	5	2025	4:30	Cataratas de Granito	EEUU	Cruz
13	5	2025	12:55	Gray	EEUU	Cruz
5	5	2025	5:30:00	Augusta	EEUU	Cruz
13	4	2025	17:35	Hillman	Australia	Cruz
8	3	2025	20:20:00	Jacksonville	EEUU	Cruz
18	2	2025	19:16	Olympia	EEUU	Cruz
10	2	2025	19:05:00	Puerto de Palm	EEUU	Cruz
6	2	2025	19:20:00	Oroville	EEUU	Cruz
6	2	2025	11:07:00	Chapecó	Brasil	Cruz
4	2	2025	20:00:00	Stamford	EEUU	Cruz
28	1	2025	10:40	Springfield	EEUU	Cruz
15	1	2025	23:41	Molino de ciprés	EEUU	Cruz
14	1	2025	18:30	Hayden	EEUU	Cruz
12	1	2025	18:30:00	Monumento	EEUU	Cruz
30	12	2024	17:25	North Haledon	EEUU	Cruz
26	12	2024	23:16	Nápoles	EEUU	Cruz
23	12	2024	20:16	Nápoles	EEUU	Cruz
21	12	2024	6:03	Kaunas	Lituania	Cruz
20	12	2024	19:24	Nápoles	EEUU	Cruz
16	12	2024	16:35	Altdorf bei Nürnberg	Alemania	Cruz
16	12	2024	11:26	Oslo	Noruega	Cruz
14	12	2024	19:00	Weymouth	EEUU	Cruz
14	12	2024	7:35	Dallas	EEUU	Cruz
14	12	2024	3:47	Manorville	EEUU	Cruz
28	11	2024	17:45	Lebec	EEUU	Cruz
20	11	2024	3:40	Ritzville	EEUU	Cruz
14	11	2024	4:15	Glenwood	EEUU	Cruz
17	8	2024	22:00	Psalida	Grecia	Cruz
14	8	2024	18:26	Coram	EEUU	Cruz
21	7	2024	12:32	Broomfield	EEUU	Cruz
31	5	2024	21:51	Wiener Neustadt	Austria	Cruz
11	4	2024	23:56:00	Youngstown	EEUU	Cruz
11	4	2024	21:30:00	Palm Springs	EEUU	Cruz
1	3	2024	22:01:00	Waukee	EEUU	Cruz
29	1	2024	12:00	Hubertus	EEUU	Cruz
11	1	2024	19:15:00	Lakeland	EEUU	Cruz
14	11	2023	17:30	Colinas Voladoras	EEUU	Cruz
21	10	2023	17:21	Henryville	EEUU	Cruz
27	9	2023	2:30	Corsicana	EEUU	Cruz
16	9	2023	16:50	Chicago	EEUU	Cruz
13	9	2023	3:22	No sé exactamente -	Canadá	Cruz
6	9	2023	5:53:00	Vancouver	Canadá	Cruz
31	8	2023	5:20	Roma	EEUU	Cruz
30	8	2023	23:50	Palo Alto	EEUU	Cruz
29	8	2023	12:45	Mumbai	India	Cruz
6	8	2023	17:54:00	Munford	EEUU	Cruz
23	7	2023	21:00	Northfield	EEUU	Cruz
13	7	2023	21:10	Costera	EEUU	Cruz
22	6	2023	23:59	Rio Dell	EEUU	Cruz
10	6	2023	3:12:00	Phoenix	EEUU	Cruz
17	5	2023	1:30	Pahrump	EEUU	Cruz
16	5	2023	23:59	Castle Rock	EEUU	Cruz
26	4	2023	10:50	New Boston	EEUU	Cruz
1	3	2023	19:30:00	Leesburg	EEUU	Cruz
27	2	2023	19:45	Brandon	EEUU	Cruz
20	2	2023	20:35	Troy	EEUU	Cruz
9	2	2023	15:11:00	Madera	EEUU	Cruz
3	2	2023	17:20:00	Palm Springs	EEUU	Cruz
19	1	2023	23:45	No especificado	EEUU	Cruz
28	12	2022	19:02	Shiloh	EEUU	Cruz
18	12	2022	21:05	Conover	EEUU	Cruz
13	12	2022	12:07	Kent	EEUU	Cruz
1	12	2022	15:33:00	No especificado	EEUU	Cruz
24	11	2022	17:30	Manchester	EEUU	Cruz
22	11	2022	22:50	Pittsburgh	EEUU	Cruz
19	11	2022	9:07	Melbourne	Australia	Cruz
18	11	2022	0:14	Leavenworth	EEUU	Cruz
12	10	2022	19:14:00	Filadelfia	EEUU	Cruz
11	10	2022	0:35:00	Napoleón	EEUU	Cruz
10	9	2022	18:41	Castle Rock	EEUU	Cruz
31	8	2022	19:35	everett	EEUU	Cruz
29	8	2022	11:36	Aurora	EEUU	Cruz
22	8	2022	23:15	Kenmore	EEUU	Cruz
15	8	2022	13:25	West Chester	EEUU	Cruz
6	8	2022	6:21	High Springs	EEUU	Cruz
3	8	2022	6:25	Killeen	EEUU	Cruz
30	7	2022	19:52	Mossy Point	Australia	Cruz
23	6	2022	2:00	Lancaster	EEUU	Cruz
21	6	2022	20:44	Irwin	EEUU	Cruz
18	6	2022	23:26	Pune	India	Cruz
22	4	2022	5:35	Howard City	EEUU	Cruz
16	4	2022	23:30	Eugene	EEUU	Cruz
11	4	2022	0:01	Saucier	EEUU	Cruz
1	4	2022	10:41	No especificado	EEUU	Cruz
8	3	2022	18:18	Sturbridge	EEUU	Cruz
15	2	2022	19:00	Eagle River	EEUU	Cruz
15	2	2022	4:55	Fort Wayne	EEUU	Cruz
1	2	2022	6:08	Cave Springs	EEUU	Cruz
31	1	2022	20:32	New River	EEUU	Cruz
14	1	2022	23:15	Canaan	EEUU	Cruz
8	1	2022	19:07	Northampton	Reino Unido	Cruz
4	10	2021	17:30	St. Augustine	EEUU	Cruz
2	9	2021	14:15	In flight	EEUU	Cruz
5	5	2021	2:15	Everett	EEUU	Cruz
11	2	2021	3:20	Tulare	EEUU	Cruz
7	2	2021	18:30	Virginia City	EEUU	Cruz
8	1	2021	15:29	Modesto	EEUU	Cruz
2	1	2021	21:30	Buxton	EEUU	Cruz
23	11	2020	7:12	Moodus	EEUU	Cruz
13	10	2020	21:30	Scarborough (Canada)	Canadá	Cruz
22	9	2020	4:10	Gunnison	EEUU	Cruz
26	8	2020	7:30	Berlin	EEUU	Cruz
23	8	2020	4:30	Trafford	EEUU	Cruz
20	8	2020	22:40	Isle of Palms	EEUU	Cruz
14	8	2020	20:30	Winthrop	EEUU	Cruz
11	8	2020	21:30	Spokane	EEUU	Cruz
8	8	2020	17:00	New York City (Brooklyn)	EEUU	Cruz
5	8	2020	19:29	Pasadena	EEUU	Cruz
2	8	2020	3:57	Albuquerque	EEUU	Cruz
31	7	2020	1:00	Montego Bay	Jamaica	Cruz
28	7	2020	5:27	Holland	EEUU	Cruz
22	7	2020	17:10	Wilmington (near)	EEUU	Cruz
3	7	2020	4:23	Naperville	EEUU	Cruz
11	6	2020	23:00	Westerly	EEUU	Cruz
25	5	2020	12:15	Peoria	EEUU	Cruz
24	5	2020	21:05	Coram	EEUU	Cruz
21	4	2020	0:00	Overland Park	EEUU	Cruz
9	4	2020	21:00	Buenos Aires (Argentina)	Argentina	Cruz
2	4	2020	20:00	Northfield	EEUU	Cruz
17	3	2020	20:58	Woonsocket	EEUU	Cruz
12	3	2020	23:45	Mt. Juliet	EEUU	Cruz
7	3	2020	19:00	Glenview	EEUU	Cruz
28	2	2020	20:35	Kendall	EEUU	Cruz
24	2	2020	20:30	Duluth	EEUU	Cruz
21	2	2020	19:50	Portland	EEUU	Cruz
20	2	2020	11:15	Wayne	EEUU	Cruz
16	2	2020	10:30	Mokuleia	EEUU	Cruz
16	1	2020	18:20	Isleton	EEUU	Cruz
15	1	2020	20:00	Bristol	EEUU	Cruz
9	1	2020	23:30	Sherman	EEUU	Cruz
6	1	2020	18:20	Gainesville	EEUU	Cruz
25	12	2019	17:35	Pittsburgh	EEUU	Cruz
6	12	2019	23:15	Sierra vista	EEUU	Cruz
3	12	2019	20:30	North Charleston	EEUU	Cruz
16	11	2019	15:09	New York City	EEUU	Cruz
10	11	2019	19:00	Byron	EEUU	Cruz
2	11	2019	21:10	Hicksvllie	EEUU	Cruz
1	11	2019	6:15	Dane	EEUU	Cruz
15	10	2019	10:15	Tolleson	EEUU	Cruz
12	10	2019	21:30	Cedar Hill	EEUU	Cruz
18	9	2019	17:00	Belfast	EEUU	Cruz
14	9	2019	15:00	Austin	EEUU	Cruz
10	9	2019	14:00	Flagstaff	EEUU	Cruz
8	9	2019	4:20	Boston	EEUU	Cruz
24	8	2019	4:00	Medfield	EEUU	Cruz
10	8	2019	20:51	Point Pleasant Boro	EEUU	Cruz
8	8	2019	6:20	West Palm Beach	EEUU	Cruz
3	8	2019	10:00	South Bend	EEUU	Cruz
30	7	2019	22:55	Sicklerville	EEUU	Cruz
26	7	2019	1:00	Spokane	EEUU	Cruz
7	6	2019	21:30	Clifton	EEUU	Cruz
29	4	2019	15:30	Manalapan	EEUU	Cruz
15	4	2019	0:33	Wall Township	EEUU	Cruz
14	4	2019	19:08	Luka	EEUU	Cruz
13	3	2019	0:51	Floridat (southern SW part)	EEUU	Cruz
6	1	2019	0:55	Philadelphia	EEUU	Cruz
8	11	2018	7:00	Cary/Apex	EEUU	Cruz
8	9	2018	0:30	New Orleans	EEUU	Cruz
7	8	2018	23:00	Syracuse	EEUU	Cruz
23	7	2018	0:15	Vancouver	EEUU	Cruz
21	7	2018	8:30	Maryland Heights	EEUU	Cruz
16	7	2018	23:00	Wallace	EEUU	Cruz
10	7	2018	3:00	Westford	EEUU	Cruz
12	6	2018	21:30	Staten Island	EEUU	Cruz
1	6	2018	14:00	Katy	EEUU	Cruz
21	4	2018	11:00	Old Forge	EEUU	Cruz
11	4	2018	12:05	Irvine	EEUU	Cruz
9	4	2018	23:20	Black Mountain	EEUU	Cruz
8	3	2018	1:00	Wasilla	EEUU	Cruz
1	3	2018	11:00	Midland	EEUU	Cruz
8	1	2018	21:00	Fife	EEUU	Cruz
3	1	2018	19:15	Blaine	EEUU	Cruz
31	12	2017	20:30	Fort Myers	EEUU	Cruz
22	11	2017	22:00	Santa Paula	EEUU	Cruz
8	10	2017	16:25	Huntington Beach	EEUU	Cruz
18	9	2017	12:00	Gross Ile	EEUU	Cruz
21	8	2017	15:10	Barboursville	EEUU	Cruz
9	7	2017	2:00	Yerington	EEUU	Cruz
29	6	2017	8:45	Clifton	EEUU	Cruz
16	6	2017	0:00	Littleton	EEUU	Cruz
15	6	2017	15:30	Colonie	EEUU	Cruz
9	6	2017	21:45	Cimarron	EEUU	Cruz
25	4	2017	23:45	Plantation	EEUU	Cruz
18	4	2017	20:30	Albuquerque	EEUU	Cruz
12	4	2017	22:00	Acworth	EEUU	Cruz
11	4	2017	0:20	Kitchener (Canada)	Canadá	Cruz
18	3	2017	13:20	Charleston	EEUU	Cruz
27	2	2017	19:30	Fountain	EEUU	Cruz
22	2	2017	20:27	Beaufort	EEUU	Cruz
13	2	2017	23:00	Fort Myers	EEUU	Cruz
27	1	2017	22:00	Ragley	EEUU	Cruz
24	12	2016	22:00	Carson City	EEUU	Cruz
28	11	2016	16:45	Fairfield	EEUU	Cruz
16	11	2016	20:00	Lake Havasu City	EEUU	Cruz
31	10	2016	11:40	Cracroft Island (Canada)	Canadá	Cruz
23	10	2016	20:00	North Richland hills	EEUU	Cruz
15	10	2016	20:00	Lakewood	EEUU	Cruz
21	9	2016	20:15	Cicero	EEUU	Cruz
19	9	2016	22:00	Aumsville	EEUU	Cruz
12	9	2016	22:30	Stamford	EEUU	Cruz
11	9	2016	13:40	Savannah	EEUU	Cruz
28	8	2016	8:57	Old Lyme	EEUU	Cruz
7	8	2016	22:30	Lady Lake	EEUU	Cruz
31	7	2016	1:30	Lyons	EEUU	Cruz
12	7	2016	22:35	Monroeville	EEUU	Cruz
10	6	2016	22:35	Carmel	EEUU	Cruz
1	6	2016	22:15	Ahmedabad (India)	India	Cruz
31	5	2016	16:15	Scarborough	EEUU	Cruz
29	5	2016	20:40	Troy	EEUU	Cruz
15	4	2016	22:13	Goleta	EEUU	Cruz
27	3	2016	22:30	Tulsa	EEUU	Cruz
15	3	2016	2:30	DeLand	EEUU	Cruz
10	2	2016	5:23	Riverbank	EEUU	Cruz
5	2	2016	21:30	Selkirk	EEUU	Cruz
5	2	2016	20:35	Southmont	EEUU	Cruz
1	2	2016	8:00	Taunton	EEUU	Cruz
24	1	2016	18:00	Douglas	EEUU	Cruz
1	12	2015	19:45	Brookfield	EEUU	Cruz
1	12	2015	19:30	Blue Island	EEUU	Cruz
11	11	2015	21:00	Riverside	EEUU	Cruz
28	10	2015	23:00	Baldwin Park	EEUU	Cruz
9	10	2015	17:06	Santa Rosa	EEUU	Cruz
18	9	2015	19:53	Old Lyme	EEUU	Cruz
2	9	2015	17:00	Graham	EEUU	Cruz
1	9	2015	23:15	Greenfield	EEUU	Cruz
23	8	2015	0:00	Rochester	EEUU	Cruz
16	8	2015	23:00	Statesboro	EEUU	Cruz
4	7	2015	22:00	Wellington	EEUU	Cruz
29	6	2015	21:45	Madisonville	EEUU	Cruz
15	6	2015	22:30	Cary	EEUU	Cruz
