DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
20	2	2026	13:47	Emmett	EEUU	Cubo
1	2	2026	21:28:00	Bulls Gap	EEUU	Cubo
12	1	2026	17:11:00	Parauapebas	Brasil	Cubo
3	1	2026	22:32:00	João Pessoa	Brasil	Cubo
1	1	2026	23:37:00	Nairobi	Kenia	Cubo
1	1	2026	16:04:00	Morton	EEUU	Cubo
18	12	2025	17:26	Edina	EEUU	Cubo
29	11	2025	17:31	Henderson	EEUU	Cubo
19	11	2025	2:00	Silver Bay	EEUU	Cubo
7	11	2025	5:00:00	Liverpool	Reino Unido	Cubo
14	10	2025	18:00	Fraser	EEUU	Cubo
19	9	2025	22:40	Príncipe Alberto	Canadá	Cubo
5	9	2025	22:15:00	Blacksburg	EEUU	Cubo
1	9	2025	16:03:00	Chelsea	EEUU	Cubo
11	8	2025	12:00:00	Atenas	EEUU	Cubo
10	8	2025	20:56:00	Svarte	Suecia	Cubo
2	8	2025	1:17:00	Karksi-Nuia	Estonia	Cubo
21	7	2025	22:58	Birmingham	Reino Unido	Cubo
14	7	2025	20:19	Malinao	Filipinas	Cubo
6	7	2025	17:00:00	Trout Run	EEUU	Cubo
5	7	2025	21:45:00	South Amboy	EEUU	Cubo
4	7	2025	1:36:00	Ottawa	Canadá	Cubo
3	7	2025	12:00:00	Honolulu	EEUU	Cubo
22	6	2025	9:30	Portland	EEUU	Cubo
18	6	2025	23:11	Yenişehir	Turquía	Cubo
6	6	2025	18:00:00	No especificado	EEUU	Cubo
17	5	2025	14:30	Waynesboro	EEUU	Cubo
1	5	2025	20:00:00	Pecos	EEUU	Cubo
30	4	2025	19:26	Manantiales Rojos	EEUU	Cubo
9	4	2025	7:52:00	Indianápolis	EEUU	Cubo
26	3	2025	8:53	Tauranga	Nueva Zelanda	Cubo
23	2	2025	15:00	No especificado	Turquía	Cubo
18	2	2025	0:04	Spa Real de Leamington	Reino Unido	Cubo
18	2	2025	0:00	Torre del Mar	España	Cubo
18	1	2025	16:00	Wewahitchka	EEUU	Cubo
18	1	2025	8:27	Mystras	Grecia	Cubo
12	1	2025	22:55:00	Vemundvik	Noruega	Cubo
9	1	2025	22:15:00	Parkersburg	EEUU	Cubo
4	1	2025	20:30:00	San Antonio	EEUU	Cubo
4	1	2025	18:44:00	Quebrada de Agua	Honduras	Cubo
3	1	2025	9:00:00	Sarasota	EEUU	Cubo
2	1	2025	6:55:00	Madison	EEUU	Cubo
29	12	2024	0:12	Jud	EEUU	Cubo
25	12	2024	11:32	Ciudad de Al Muqattam	Egipto	Cubo
16	12	2024	23:30	Quilcene	EEUU	Cubo
14	12	2024	20:36	Fondo de melocotón	EEUU	Cubo
14	12	2024	17:52	Gurugram	India	Cubo
2	12	2024	6:50:00	Lindsay	EEUU	Cubo
1	12	2024	14:30:00	Stephenville	EEUU	Cubo
7	11	2024	21:00:00	South Bristol	EEUU	Cubo
24	10	2024	20:24	Billings	EEUU	Cubo
15	10	2024	17:40	Florencia	EEUU	Cubo
9	10	2024	11:00:00	Statham	EEUU	Cubo
9	10	2024	0:35:00	Huntington	EEUU	Cubo
4	10	2024	7:32:00	Playa de Pompano	EEUU	Cubo
7	9	2024	17:10:00	Mursley	Reino Unido	Cubo
22	8	2024	12:10	Brian Head	EEUU	Cubo
20	8	2024	19:00	Bradenton	EEUU	Cubo
16	8	2024	12:00	Nueva York	EEUU	Cubo
16	8	2024	12:00	Nueva York	EEUU	Cubo
10	8	2024	14:04:00	Indianápolis	EEUU	Cubo
30	7	2024	22:15	Sabattus	EEUU	Cubo
23	7	2024	19:10	Durham	EEUU	Cubo
20	7	2024	18:00	Denver	EEUU	Cubo
16	7	2024	20:03	Nazaret	EEUU	Cubo
10	6	2024	18:30:00	Syracuse	EEUU	Cubo
28	5	2024	20:30	Lago George	EEUU	Cubo
28	5	2024	12:25	Niágara	EEUU	Cubo
20	5	2024	16:44	Manteca	EEUU	Cubo
11	5	2024	17:20:00	Bolívar	EEUU	Cubo
18	3	2024	10:15	Portland	EEUU	Cubo
4	3	2024	19:45:00	Loveland	EEUU	Cubo
4	3	2024	19:30:00	Canby	EEUU	Cubo
10	2	2024	4:05:00	Chula Vista	EEUU	Cubo
22	12	2023	2:52	Cresta	EEUU	Cubo
15	12	2023	16:00	Toronto	Canadá	Cubo
15	11	2023	13:00	Goodland	EEUU	Cubo
3	11	2023	2:05:00	Sterling	EEUU	Cubo
25	10	2023	14:00	Eagar	EEUU	Cubo
16	10	2023	19:00	No especificado	EEUU	Cubo
14	10	2023	12:00	Pflugerville	EEUU	Cubo
7	10	2023	23:56:00	Fuerte St. John	Canadá	Cubo
30	9	2023	16:22	Ermelo	Países Bajos El	Cubo
28	9	2023	12:15	Butte	EEUU	Cubo
18	9	2023	22:17	Pez blanco	EEUU	Cubo
31	8	2023	12:50	Salt Lake City	EEUU	Cubo
29	8	2023	22:45	Port Angeles	EEUU	Cubo
26	8	2023	21:56	San Antonio	EEUU	Cubo
18	8	2023	19:28	Las Vegas	EEUU	Cubo
11	8	2023	0:30:00	Oklahoma City	EEUU	Cubo
30	7	2023	19:45	Unión	EEUU	Cubo
23	7	2023	2:15	North Battleford	Canadá	Cubo
22	7	2023	15:44	NY	EEUU	Cubo
20	7	2023	19:18	Salem	EEUU	Cubo
20	7	2023	18:53	Gloucester	EEUU	Cubo
7	7	2023	7:50:00	Oakwood	EEUU	Cubo
1	7	2023	3:30:00	Aproximadamente 2,5 millas náuticas frente a la costa de Sloop Point	EEUU	Cubo
29	6	2023	4:00	Mankato	EEUU	Cubo
22	6	2023	20:00	Sandy	EEUU	Cubo
15	6	2023	22:23	Calabash	EEUU	Cubo
30	5	2023	21:52	Flecha rota	EEUU	Cubo
29	5	2023	0:18	Montrose	EEUU	Cubo
27	5	2023	23:10	Lago Carter	EEUU	Cubo
22	5	2023	21:18	Playa Vero	EEUU	Cubo
17	5	2023	23:00	Tadepalligudem	India	Cubo
16	5	2023	21:20	Lawndale	EEUU	Cubo
7	5	2023	1:10:00	Alexander	EEUU	Cubo
7	5	2023	0:00:00	Bentley, Doncaster.	Reino Unido	Cubo
13	4	2023	21:28	Hersey	EEUU	Cubo
9	4	2023	17:05:00	Colinas de Clarendon	EEUU	Cubo
7	4	2023	21:55:00	Bedford	EEUU	Cubo
31	3	2023	23:00	Quasky	EEUU	Cubo
5	3	2023	14:07:00	Glenhaven	EEUU	Cubo
4	12	2022	23:47:00	Santa Paula	EEUU	Cubo
21	10	2022	12:30	Jacksonville	EEUU	Cubo
18	8	2022	15:13	Las Vegas	EEUU	Cubo
22	4	2022	19:00	Tulsa	EEUU	Cubo
21	11	2021	10:49	Fleetwood	Reino Unido	Cubo
18	10	2021	2:35	Lawton	EEUU	Cubo
22	8	2021	1:18	Buffalo	EEUU	Cubo
18	12	2020	16:24	East Brookfield	EEUU	Cubo
22	10	2019	19:30	Hermanas	EEUU	Cubo
10	4	2019	16:00:00	Riad	Arabia Saudí	Cubo
13	6	2017	2:30	Gesves	Bélgica	Cubo
1	1	2017	21:00:00	Albuquerque	EEUU	Cubo
16	9	2015	14:08	San Diego	EEUU	Cubo
1	9	2015	21:00:00	Albuquerque	EEUU	Cubo
16	10	2013	2:30	Ruidoso	EEUU	Cubo
14	8	2013	2:01	Yale	Canadá	Cubo
17	9	2007	6:50	Newport	EEUU	Cubo
17	6	2005	17:00	Macclesfield	Reino Unido	Cubo
4	6	2003	14:00:00	Centreville	EEUU	Cubo
1	6	1996	17:00:00	Arlington	EEUU	Cubo
