DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
24	2	2026	19:00	Christiansted	Islas Vírgenes de EE. UU.	Desconocido
24	2	2026	4:30	Katy	EEUU	Desconocido
20	2	2026	19:09	Anacortes	EEUU	Desconocido
19	2	2026	20:10	Cascada	EEUU	Desconocido
19	2	2026	19:08	Mount Vernon	EEUU	Desconocido
17	2	2026	21:33	No especificado	EEUU	Desconocido
14	2	2026	19:20	Bogotá	Colombia	Desconocido
13	2	2026	16:00	San Anselmo	EEUU	Desconocido
12	2	2026	16:30:00	Texanna	EEUU	Desconocido
9	2	2026	17:22:00	Dundee	EEUU	Desconocido
6	2	2026	23:05:00	Vista al lago	EEUU	Desconocido
6	2	2026	17:49:00	McAlester	EEUU	Desconocido
6	2	2026	17:28:00	Zrenjanin	Serbia	Desconocido
6	2	2026	14:02:00	Sacramento	EEUU	Desconocido
1	2	2026	15:37:00	Bedford	EEUU	Desconocido
24	1	2026	17:15	Edmonds	EEUU	Desconocido
23	1	2026	21:00	Newton	EEUU	Desconocido
22	1	2026	20:30	No especificado	No especificado	Desconocido
21	1	2026	0:40	São João de Meriti	Brasil	Desconocido
18	1	2026	18:00	Yoder	EEUU	Desconocido
17	1	2026	21:10	Monroe	EEUU	Desconocido
15	1	2026	1:58	São Paulo	Brasil	Desconocido
13	1	2026	22:50	Hilliard	EEUU	Desconocido
13	1	2026	22:30	Selfoss	Islandia	Desconocido
13	1	2026	18:52	Sección	EEUU	Desconocido
11	1	2026	22:54:00	Alagoa Nova	Brasil	Desconocido
10	1	2026	21:25:00	Redcar	Reino Unido	Desconocido
10	1	2026	19:00:00	Upwell	Reino Unido	Desconocido
2	1	2026	18:05:00	Folsom	EEUU	Desconocido
30	12	2025	20:48	Calgary	Canadá	Desconocido
25	12	2025	15:02	Rataje nad Sázavou	Chequia	Desconocido
24	12	2025	20:15	Bangor	EEUU	Desconocido
21	12	2025	23:50	Rendlesham	Reino Unido	Desconocido
18	12	2025	20:10	Nueva Orleans	EEUU	Desconocido
15	12	2025	20:15	Standish	EEUU	Desconocido
9	12	2025	20:57:00	Westport	EEUU	Desconocido
9	12	2025	17:45:00	Albuquerque	EEUU	Desconocido
8	12	2025	18:00:00	Houston	EEUU	Desconocido
8	12	2025	18:00:00	Elm Mott	EEUU	Desconocido
8	12	2025	18:00:00	Delphos	EEUU	Desconocido
6	12	2025	19:30:00	Monroe	EEUU	Desconocido
6	12	2025	18:15:00	Superior	EEUU	Desconocido
3	12	2025	17:40:00	Yellville	EEUU	Desconocido
2	12	2025	4:15:00	Cimarron	EEUU	Desconocido
1	12	2025	13:00:00	Dayton	Australia	Desconocido
29	11	2025	21:00	Leland	EEUU	Desconocido
28	11	2025	3:19	Playa Norte de Myrtle	EEUU	Desconocido
27	11	2025	18:17	Gulhi Falhu	Maldivas	Desconocido
22	11	2025	18:58	Aberdeen	EEUU	Desconocido
16	11	2025	20:00	Bremen	EEUU	Desconocido
16	11	2025	17:40	Lethbridge	Canadá	Desconocido
15	11	2025	19:41	Jacksboro	EEUU	Desconocido
13	11	2025	15:00	Minerva	EEUU	Desconocido
12	11	2025	22:00:00	Bangor	EEUU	Desconocido
11	11	2025	18:30:00	Clements	EEUU	Desconocido
9	11	2025	1:53:00	Kaliningrado	Rusia	Desconocido
8	11	2025	6:22:00	Trenton	EEUU	Desconocido
8	11	2025	6:16:00	Charleston	EEUU	Desconocido
6	11	2025	3:30:00	Imlay	EEUU	Desconocido
5	11	2025	17:50:00	Malta	EEUU	Desconocido
5	11	2025	13:20:00	Dallas	EEUU	Desconocido
4	11	2025	18:02:00	Eliot	EEUU	Desconocido
4	11	2025	17:55:00	Sudbury	EEUU	Desconocido
3	11	2025	0:51:00	Neka	Irán	Desconocido
2	11	2025	18:38:00	Ciudad de los Rápidos	EEUU	Desconocido
2	11	2025	1:50:00	Chispas	EEUU	Desconocido
30	10	2025	6:35	No especificado	Reino Unido	Desconocido
29	10	2025	18:27	Garryvoe	Irlanda	Desconocido
29	10	2025	8:47	Wenham	EEUU	Desconocido
