DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
3	2	2026	19:24:00	Richmond	Reino Unido	Diamante
22	1	2026	7:54	Springfield	EEUU	Diamante
4	1	2026	20:12:00	Petrolina	Brasil	Diamante
1	1	2026	0:44:00	Zadar	Croacia	Diamante
26	12	2025	13:12	Dallas	EEUU	Diamante
6	12	2025	5:30:00	Totton	Reino Unido	Diamante
26	11	2025	17:23	Santa María	Australia	Diamante
21	11	2025	21:10	Obispos Cleeve	Reino Unido	Diamante
21	11	2025	19:27	Brooksville	EEUU	Diamante
20	11	2025	21:00	Chehalis	EEUU	Diamante
14	11	2025	3:42	Maquoketa	EEUU	Diamante
10	11	2025	16:45:00	Redwood City	EEUU	Diamante
26	10	2025	23:16	Columbia	EEUU	Diamante
24	10	2025	20:35	Ontario	EEUU	Diamante
23	10	2025	19:25	Vancouver	EEUU	Diamante
21	10	2025	21:35	Londres	EEUU	Diamante
21	10	2025	1:00	Kos	Grecia	Diamante
1	10	2025	7:50:00	Lubbock	EEUU	Diamante
22	9	2025	0:21	Burton	EEUU	Diamante
20	9	2025	1:25	Tundla	India	Diamante
19	9	2025	10:00	Nuevo Viñedo	EEUU	Diamante
14	9	2025	19:30	Zuni	EEUU	Diamante
9	9	2025	11:40:00	Fontana	EEUU	Diamante
7	9	2025	20:35:00	Montículo	EEUU	Diamante
27	8	2025	0:35	Sunnyvale	EEUU	Diamante
21	8	2025	14:45	Terre Haute	EEUU	Diamante
19	8	2025	23:30	Westfield	EEUU	Diamante
19	8	2025	22:05	Colina del Túnel	EEUU	Diamante
19	8	2025	12:41	Vancouver	Canadá	Diamante
18	8	2025	1:07	Midvale	EEUU	Diamante
17	8	2025	22:35	Alturas de Middleburg	EEUU	Diamante
17	8	2025	17:38	Arroyo Oak	EEUU	Diamante
10	8	2025	19:40:00	Hemet	EEUU	Diamante
5	8	2025	5:19:00	Marysville	EEUU	Diamante
26	7	2025	15:40	Stephenville	Canadá	Diamante
25	7	2025	22:15	McGaheysville	EEUU	Diamante
22	7	2025	4:00	Epping	EEUU	Diamante
20	7	2025	16:30	Amanecer	EEUU	Diamante
17	7	2025	21:52	Cicerón	EEUU	Diamante
15	7	2025	2:23	Fairfield	EEUU	Diamante
5	7	2025	13:30:00	No especificado	Irlanda	Diamante
24	6	2025	4:36	Phoenix	EEUU	Diamante
17	6	2025	21:33	Bakersfield	EEUU	Diamante
17	6	2025	15:04	Sassenheim	Netherlands	Diamante
29	5	2025	4:02	Worth	EEUU	Diamante
23	5	2025	2:33	Fountain Hills	EEUU	Diamante
8	5	2025	21:30:00	Duluth	EEUU	Diamante
7	5	2025	15:30:00	Hillsboro Beach	EEUU	Diamante
7	5	2025	0:46:00	Dayton	EEUU	Diamante
22	4	2025	6:07	Trou-aux-Biches	Mauritius	Diamante
20	4	2025	22:30	Portland	EEUU	Diamante
