							
	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
	11	2	2026	13:00:00	Verdigris	EEUU	Disco
	1	2	2026	14:00:00		Polonia	Disco
	23	1	2026	22:40	Fair Hill	EEUU	Disco
	18	1	2026	19:30	Oak Harbor	EEUU	Disco
	17	1	2026	20:46	Camano	EEUU	Disco
	15	1	2026	0:37	Indianápolis	EEUU	Disco
	13	1	2026	21:03	Matínhos	Brasil	Disco
	13	1	2026	8:10	Clare	EEUU	Disco
	12	1	2026	22:43:00	São José do Seridó	Brasil	Disco
	12	1	2026	19:06:00	Auriflama	Brasil	Disco
	12	1	2026	18:30:00	Chillicothe	EEUU	Disco
	11	1	2026	19:41:00		Brasil	Disco
	31	12	2025	23:16	Itaquaquecetuba	Brasil	Disco
	26	12	2025	20:44	Macapá	Brasil	Disco
	26	12	2025	18:50	Isla Macleay	Australia	Disco
	22	12	2025	19:48	Brownsburg	EEUU	Disco
	22	12	2025	16:50	Encinitas	EEUU	Disco
	22	12	2025	16:26	Mezquite	EEUU	Disco
	20	12	2025	18:07	Encinitas	EEUU	Disco
	17	12	2025	23:51	Vargem Bonita	Brasil	Disco
	11	12	2025	13:14:00	Marandua	Colombia	Disco
	6	12	2025	19:15:00	Ravenna	EEUU	Disco
	5	12	2025	19:00:00	Seúl	Corea del Sur	Disco
	25	11	2025	21:27	East Nassau	EEUU	Disco
	18	11	2025	18:15	Grovetown	EEUU	Disco
	17	11	2025	19:30	Weymouth	Reino Unido	Disco
	16	11	2025	18:53	Saint Ives	Reino Unido	Disco
	15	11	2025	22:15	Municipio de Pemberton	EEUU	Disco
	14	11	2025	16:00	Dublín	EEUU	Disco
	12	11	2025	21:33:00	Valle de la Manzana	EEUU	Disco
	12	11	2025	13:28:00	Deadwood	EEUU	Disco
	11	11	2025	5:13:00	Tompkinsville	EEUU	Disco
	7	11	2025	21:58:00	Miranda do Corvo	Portugal	Disco
	4	11	2025	18:02:00	Municipio de Franklin	EEUU	Disco
	4	11	2025	18:01:00	Allentown	EEUU	Disco
	2	11	2025	18:21:00	Ada	EEUU	Disco
	27	10	2025	19:40	Seúl	Corea del Sur	Disco
