DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
24	2	2026	15:50	Valle de Yucca	EEUU	Esfera
20	2	2026	19:00	Arlington	EEUU	Esfera
15	2	2026	12:54	Tacoma	EEUU	Esfera
8	2	2026	19:05:00	Ault	EEUU	Esfera
5	2	2026	14:50:00	Richfield	EEUU	Esfera
18	1	2026	2:00	No especificado	EEUU	Esfera
17	1	2026	10:15	Brownwood	EEUU	Esfera
16	1	2026	19:12	Ludlow	EEUU	Esfera
15	1	2026	22:10	Kenna	EEUU	Esfera
11	1	2026	18:32:00	Budapest	Hungría	Esfera
11	1	2026	17:20:00	Kuchařovice	Chequia	Esfera
9	1	2026	20:31:00	No especificado	EEUU	Esfera
6	1	2026	12:41:00	Lakeland	EEUU	Esfera
26	12	2025	19:50	Bodega Bay	EEUU	Esfera
24	12	2025	20:45	Moore	EEUU	Esfera
24	12	2025	13:30	Kailua-Kona	EEUU	Esfera
23	12	2025	22:00	Springfield	EEUU	Esfera
14	12	2025	21:14	Irmo	EEUU	Esfera
13	12	2025	16:00	Fairmount	EEUU	Esfera
8	12	2025	18:01:00	Fort Worth	EEUU	Esfera
8	12	2025	15:45:00	Hicksville	EEUU	Esfera
7	12	2025	0:45:00	Chaska	EEUU	Esfera
24	11	2025	21:30	Bromborough	Reino Unido	Esfera
20	11	2025	4:04	Fairhaven	EEUU	Esfera
13	11	2025	19:25	Esher	Reino Unido	Esfera
12	11	2025	23:32:00	Ypsilanti	EEUU	Esfera
8	11	2025	18:48:00	Weesp	Países Bajos	Esfera
4	11	2025	17:55:00	Nápoles	EEUU	Esfera
4	11	2025	17:00:00	Al Ahmadi	Kuwait	Esfera
29	10	2025	22:00	Missoula	EEUU	Esfera
29	10	2025	21:36	Varsovia	Polonia	Esfera
26	10	2025	20:48	Hudsonville	EEUU	Esfera
26	10	2025	16:04	Bogotá	Colombia	Esfera
25	10	2025	7:55	Fishers	EEUU	Esfera
21	10	2025	9:20	Hathersage	Reino Unido	Esfera
16	10	2025	6:00	Douglasville	EEUU	Esfera
15	10	2025	18:00	Nuevo Puerto Richey	EEUU	Esfera
13	10	2025	19:40	Wauchula	EEUU	Esfera
11	10	2025	13:56:00	Minneapolis	EEUU	Esfera
5	10	2025	10:38:00	Midlothian	EEUU	Esfera
4	10	2025	22:00:00	Gran Cruce	EEUU	Esfera
28	9	2025	17:50	Kerrville	EEUU	Esfera
24	9	2025	20:00	Spring Hill	EEUU	Esfera
21	9	2025	15:15	Honolulu	EEUU	Esfera
21	9	2025	7:00	Cumming	EEUU	Esfera
18	9	2025	21:00	Wellsboro	EEUU	Esfera
13	9	2025	20:30	Nelson	Reino Unido	Esfera
7	9	2025	23:30:00	Southgate	EEUU	Esfera
7	9	2025	18:05:00	Nueva York	EEUU	Esfera
6	9	2025	23:15:00	Coxheath	Reino Unido	Esfera
3	9	2025	15:00:00	Cleveland	EEUU	Esfera
1	9	2025	15:00:00	Mount HOME	EEUU	Esfera
30	8	2025	22:30	Clinton	EEUU	Esfera
26	8	2025	21:00	Vancouver	EEUU	Esfera
21	8	2025	21:02	McAllen	EEUU	Esfera
21	8	2025	20:53	Zvolen	Eslovaquia	Esfera
21	8	2025	4:09	Cataratas del Niágara	EEUU	Esfera
18	8	2025	18:38	San Diego	EEUU	Esfera
17	8	2025	5:20	Bethesda	EEUU	Esfera
13	8	2025	4:40	Milwaukee	EEUU	Esfera
9	8	2025	23:00:00	Quitman	EEUU	Esfera
8	8	2025	18:15:00	Hopatcong	EEUU	Esfera
30	7	2025	22:26	Varsovia	Polonia	Esfera
29	7	2025	15:00	Canonsburg	EEUU	Esfera
26	7	2025	16:30	Pittsville	EEUU	Esfera
19	7	2025	21:12	Detroit	EEUU	Esfera
14	7	2025	7:54	Marietta	EEUU	Esfera
10	7	2025	16:30:00	Seattle	EEUU	Esfera
8	7	2025	19:59:00	Eastover	EEUU	Esfera
6	7	2025	21:00:00	Barcelona	España	Esfera
6	7	2025	20:48:00	Turpin	EEUU	Esfera
5	7	2025	7:25:00	Snohomish	EEUU	Esfera
5	7	2025	2:00:00	Baldwin	EEUU	Esfera
4	7	2025	22:30:00	West Bellaire	EEUU	Esfera
4	7	2025	13:00:00	West Lafayette	EEUU	Esfera
2	7	2025	5:15:00	Edwinstowe	Reino Unido	Esfera
1	7	2025	7:08:00	No especificado	Canadá	Esfera
29	6	2025	17:45	Campton	EEUU	Esfera
27	6	2025	15:15	Thorpe End	Reino Unido	Esfera
23	6	2025	17:23	Gransherad	Noruega	Esfera
22	6	2025	20:17	Richfield	EEUU	Esfera
22	6	2025	9:59	Oconomowoc	EEUU	Esfera
21	6	2025	21:30	Andover	EEUU	Esfera
21	6	2025	14:50	Coaldale	EEUU	Esfera
20	6	2025	20:20	Audubon	EEUU	Esfera
20	6	2025	17:38	San Antonio	EEUU	Esfera
19	6	2025	15:30	Nuevo Mercado	EEUU	Esfera
16	6	2025	15:15	Lago Elmo	EEUU	Esfera
15	6	2025	3:30	Tucson	EEUU	Esfera
8	6	2025	19:12:00	Ottawa	Canadá	Esfera
8	6	2025	4:15:00	Reno	EEUU	Esfera
7	6	2025	20:00:00	Salisbury	EEUU	Esfera
4	6	2025	21:15:00	Morris	EEUU	Esfera
31	5	2025	12:08	Kelowna	Canadá	Esfera
29	5	2025	20:07	Cohoes	EEUU	Esfera
28	5	2025	16:30	Hua Hin	Tailandia	Esfera
27	5	2025	15:16	San Vito	Costa Rica	Esfera
24	5	2025	14:00	Camarillo	EEUU	Esfera
20	5	2025	19:00	Valle de Yucca	EEUU	Esfera
18	5	2025	17:59	Southport	Australia	Esfera
17	5	2025	19:00	Tucson	EEUU	Esfera
17	5	2025	14:20	Nashville	EEUU	Esfera
16	5	2025	11:10	Cumbernauld	Reino Unido	Esfera
15	5	2025	15:21	Playa de Panama City	EEUU	Esfera
15	5	2025	4:01	El Alto	Bolivia	Esfera
9	5	2025	15:00:00	Conklin	EEUU	Esfera
8	5	2025	15:30:00	Alton	Reino Unido	Esfera
7	5	2025	20:19:00	Yagoona	Australia	Esfera
5	5	2025	22:00:00	Sacramento	EEUU	Esfera
3	5	2025	11:33:00	Flecha rota	EEUU	Esfera
28	4	2025	16:35	Lago Ballston	EEUU	Esfera
26	4	2025	7:00	Arara	Brasil	Esfera
24	4	2025	20:26	Cataratas del Bosque	EEUU	Esfera
23	4	2025	19:23	Tornado	EEUU	Esfera
21	4	2025	20:00	Rincón	Puerto Rico	Esfera
16	4	2025	0:30	Massena	EEUU	Esfera
15	4	2025	18:45	Tucson	EEUU	Esfera
15	4	2025	1:13	Ciudad de México	México	Esfera
12	4	2025	20:28:00	Las Cruces	EEUU	Esfera
11	4	2025	21:00:00	Polatli	Turquía	Esfera
10	4	2025	1:50:00	Pine Bluff	EEUU	Esfera
8	4	2025	16:02:00	Buga	Colombia	Esfera
5	4	2025	5:15:00	Southport	Australia	Esfera
2	4	2025	14:30:00	Schuylerville	EEUU	Esfera
1	4	2025	21:40:00	Tacoma	EEUU	Esfera
27	3	2025	17:10	Las Vegas	EEUU	Esfera
25	3	2025	10:56	Bluffdale	EEUU	Esfera
25	3	2025	8:00	Longmont	EEUU	Esfera
22	3	2025	16:02	Meridiano	EEUU	Esfera
20	3	2025	17:12	Moskva	Rusia	Esfera
14	3	2025	19:53	Unadilla	EEUU	Esfera
14	3	2025	10:45	Prosper	EEUU	Esfera
13	3	2025	23:23	Portland	EEUU	Esfera
13	3	2025	19:39	Springfield	EEUU	Esfera
13	3	2025	17:15	Stevenage	Reino Unido	Esfera
12	3	2025	22:19:00	Cresta Walnut	EEUU	Esfera
11	3	2025	11:27:00	No especificado	Isla de Man	Esfera
7	3	2025	12:01:00	Reno	EEUU	Esfera
6	3	2025	18:35:00	Davenport	EEUU	Esfera
6	3	2025	14:40:00	Atlanta	EEUU	Esfera
2	3	2025	19:00:00	Celje	Eslovenia	Esfera
27	2	2025	5:45	No especificado	Australia	Esfera
26	2	2025	11:45	Valle de Prescott	EEUU	Esfera
25	2	2025	21:30	Loma Linda	EEUU	Esfera
23	2	2025	17:21	Santa Fe	EEUU	Esfera
18	2	2025	6:25	Río de la Paz	Canadá	Esfera
11	2	2025	8:10:00	North Amityville	EEUU	Esfera
7	2	2025	12:17:00	Morval	Reino Unido	Esfera
5	2	2025	0:24:00	Fayetteville	EEUU	Esfera
3	2	2025	22:45:00	Goodlettsville	EEUU	Esfera
1	2	2025	16:44:00	Westminster	EEUU	Esfera
28	1	2025	19:00	Montgomery	EEUU	Esfera
27	1	2025	0:31	Mukilteo	EEUU	Esfera
26	1	2025	22:00	Bradford	EEUU	Esfera
25	1	2025	20:04	San Diego	EEUU	Esfera
24	1	2025	6:00	Winchester	EEUU	Esfera
21	1	2025	18:40	Aventura	EEUU	Esfera
20	1	2025	22:00	Taylor	Canadá	Esfera
20	1	2025	20:07	Lago Watson	Canadá	Esfera
15	1	2025	17:07	Nashville	EEUU	Esfera
10	1	2025	21:55:00	Brampton	Canadá	Esfera
8	1	2025	23:30:00	Ciudad Victoria	México	Esfera
3	1	2025	3:10:00	Culiacán Rosales	México	Esfera
2	1	2025	13:48:00	Pueblo	EEUU	Esfera
31	12	2024	8:50	Toms River	EEUU	Esfera
30	12	2024	3:50	Chiwaukum	EEUU	Esfera
29	12	2024	16:30	Colby	EEUU	Esfera
28	12	2024	3:36	Santa Fe	EEUU	Esfera
27	12	2024	17:02	Mexico	EEUU	Esfera
25	12	2024	18:40	Quakertown	EEUU	Esfera
23	12	2024	10:56	Addison	EEUU	Esfera
23	12	2024	0:23	No especificado	EEUU	Esfera
22	12	2024	16:58	Brambleton	EEUU	Esfera
21	12	2024	21:50	Sabaudia	Italia	Esfera
20	12	2024	19:45	Maplewood	EEUU	Esfera
20	12	2024	4:00	Lakewood	EEUU	Esfera
20	12	2024	1:00	No especificado	Brasil	Esfera
19	12	2024	23:22	Córdoba	Argentina	Esfera
17	12	2024	20:30	Halifax	Canadá	Esfera
17	12	2024	19:31	Holeta	Etiopía	Esfera
17	12	2024	15:40	Funza	Colombia	Esfera
17	12	2024	13:00	Riverside	EEUU	Esfera
16	12	2024	18:30	Normal	EEUU	Esfera
16	12	2024	17:11	Meadville	EEUU	Esfera
16	12	2024	13:42	Ardrossan	Reino Unido	Esfera
16	12	2024	13:00	Ardrossan	Reino Unido	Esfera
16	12	2024	10:26	Newark	EEUU	Esfera
15	12	2024	21:19	Lumberton	EEUU	Esfera
14	12	2024	22:35	Youngsville	EEUU	Esfera
