DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
23	2	2026	19:33	Colinas Bloomfield	EEUU	Estrella
23	2	2026	1:30	Bellingham	EEUU	Estrella
26	1	2026	5:57	Cosmópolis	Brasil	Estrella
24	1	2026	0:48	Wattle Flat	Australia	Estrella
18	1	2026	18:01	Los Lunas	EEUU	Estrella
17	1	2026	4:15	San Diego	EEUU	Estrella
15	1	2026	17:09	Riebeek West	Sudáfrica	Estrella
10	1	2026	4:15:00	Punta de Myrtle	EEUU	Estrella
26	12	2025	17:50	Gorst	EEUU	Estrella
24	12	2025	21:46	Crestview	EEUU	Estrella
20	12	2025	20:23	Palm Beach	Australia	Estrella
25	11	2025	5:50	Nether Langwith	Reino Unido	Estrella
23	11	2025	3:45	Decorah	EEUU	Estrella
22	11	2025	18:30	Brunswick	EEUU	Estrella
20	11	2025	18:30	Charlton	EEUU	Estrella
16	11	2025	18:13	San Pablo	EEUU	Estrella
12	11	2025	18:53:00	Nobleboro	EEUU	Estrella
2	11	2025	22:59:00	North Berwick	EEUU	Estrella
2	11	2025	19:00:00	Webster	EEUU	Estrella
30	10	2025	21:59	Colorado Springs	EEUU	Estrella
28	10	2025	1:00	Presa de Buchanan	EEUU	Estrella
27	10	2025	19:00	Hooksett	EEUU	Estrella
27	10	2025	2:30	Ravenna	EEUU	Estrella
19	10	2025	22:11	Cape Coral	EEUU	Estrella
19	10	2025	6:45	Clacton-on-Sea	Reino Unido	Estrella
15	10	2025	7:03	Condado de Sturgeon	Canadá	Estrella
11	10	2025	0:30:00	Springfield	EEUU	Estrella
7	10	2025	20:56:00	Inyokern	EEUU	Estrella
5	10	2025	18:45:00	خوشبختی	Irán	Estrella
2	10	2025	3:48:00	Gullivers Cove	Canadá	Estrella
1	10	2025	2:30:00	Banco Conquerall	Canadá	Estrella
25	9	2025	2:54	La entrada norte	Australia	Estrella
9	9	2025	22:00:00	Higham en la Colina	Reino Unido	Estrella
7	9	2025	21:30:00	Santa Cruz	EEUU	Estrella
1	9	2025	21:30:00	Homestead	EEUU	Estrella
26	8	2025	4:50	Delaware	EEUU	Estrella
22	8	2025	23:50	Caney	EEUU	Estrella
22	8	2025	2:21	Medford	EEUU	Estrella
19	8	2025	21:36	South Kingstown	EEUU	Estrella
19	8	2025	19:48	Weesp	Países Bajos	Estrella
16	8	2025	23:10	Ciudad Jardín	EEUU	Estrella
9	8	2025	21:31:00	Stonington	EEUU	Estrella
9	8	2025	5:50:00	Templo	EEUU	Estrella
8	8	2025	7:24:00	Mohave Valley	EEUU	Estrella
7	8	2025	3:53:00	Gaziantep	Turquía	Estrella
4	8	2025	21:30:00	Madison	EEUU	Estrella
3	8	2025	4:17:00	Davao City	Philippines	Estrella
2	8	2025	22:00:00	Kingston	EEUU	Estrella
24	7	2025	1:30	Amherst	EEUU	Estrella
22	7	2025	2:30	No especificado	International Waters	Estrella
22	7	2025	1:03	Olsztyn	Poland	Estrella
21	7	2025	22:15	Belvidere	EEUU	Estrella
19	7	2025	0:30	Sankt-Peterburg	Russia	Estrella
8	7	2025	21:16:00	No especificado	Egypt	Estrella
6	7	2025	0:31:00	Aldea del Fresno	España	Estrella
3	7	2025	21:30:00	Goodlettsville	EEUU	Estrella
3	7	2025	10:10:00	Fort Meade	EEUU	Estrella
3	7	2025	4:45:00	Dewey Beach	EEUU	Estrella
25	6	2025	3:00	Shanghai	China	Estrella
24	6	2025	19:01	Panagamuwa	Sri Lanka	Estrella
22	6	2025	21:00	Torres	Brasil	Estrella
22	6	2025	2:00	Montgomery	EEUU	Estrella
3	6	2025	23:58:00	Taverham	Reino Unido	Estrella
3	6	2025	23:27:00	Los Polvorines	Argentina	Estrella
3	6	2025	22:40:00	Plymouth	EEUU	Estrella
25	5	2025	3:02	No especificado	Turquía	Estrella
24	5	2025	23:15	Greenville	EEUU	Estrella
23	5	2025	4:40	Zephyrhills	EEUU	Estrella
21	5	2025	15:00	Tehran	Irán	Estrella
15	5	2025	0:30	Ottawa	Canadá	Estrella
6	5	2025	22:20:00	Nerja	España	Estrella
5	5	2025	4:13:00	Salem	EEUU	Estrella
3	5	2025	23:45:00	Newbridge	Ireland	Estrella
1	5	2025	21:50:00	Mestlin	Alemania	Estrella
29	4	2025	21:11	Las Vegas	EEUU	Estrella
29	4	2025	2:56	Islamabad	Pakistán	Estrella
25	4	2025	6:04	Mandurah	Australia	Estrella
20	4	2025	4:30	Atenas	EEUU	Estrella
13	4	2025	22:40	Duns	Reino Unido	Estrella
11	4	2025	21:05:00	Williams	EEUU	Estrella
8	4	2025	19:40:00	Kawasaki	Japón	Estrella
27	3	2025	20:54	Clermont	EEUU	Estrella
26	3	2025	0:45	Hillsboro	EEUU	Estrella
24	3	2025	19:55	Euxton	Reino Unido	Estrella
23	3	2025	3:40	Montreal	Canadá	Estrella
21	3	2025	22:00	Los Ángeles	EEUU	Estrella
19	3	2025	3:12	Katy	EEUU	Estrella
16	3	2025	2:20	Oklahoma City	EEUU	Estrella
12	3	2025	21:00:00	Tuscaloosa	EEUU	Estrella
11	3	2025	0:00:00	Yokote	Japón	Estrella
8	3	2025	22:00:00	Sarkola	Finlandia	Estrella
1	3	2025	19:35:00	Washington	EEUU	Estrella
23	2	2025	5:40	Edmond	EEUU	Estrella
18	2	2025	19:20	Milford	EEUU	Estrella
4	2	2025	20:00:00	Mazatlán	México	Estrella
4	2	2025	19:55:00	Marietta	EEUU	Estrella
29	1	2025	21:30	No especificado	Noruega	Estrella
