DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
24	1	2026	15:32	No especificado	Brasil	Flash
9	1	2026	19:00:00	Lince	Perú	Flash
26	12	2025	20:00	Orlândia	Brasil	Flash
26	12	2025	19:06	Port Saint John	EEUU	Flash
22	12	2025	18:13	Chicago Heights	EEUU	Flash
19	12	2025	4:30	Colorado Springs	EEUU	Flash
19	12	2025	4:30	Manantiales Manitou	EEUU	Flash
10	12	2025	3:45:00	Bloomington	EEUU	Flash
30	11	2025	1:00	Franco da Rocha	Brasil	Flash
28	11	2025	21:30	León Rojo	EEUU	Flash
22	11	2025	18:11	Sheffield	EEUU	Flash
15	11	2025	22:00	Winnett	EEUU	Flash
12	11	2025	23:25:00	Moweaqua	EEUU	Flash
12	11	2025	3:15:00	Twisp	EEUU	Flash
10	11	2025	18:15:00	León Rojo	EEUU	Flash
9	11	2025	18:30:00	Bodega Bay	EEUU	Flash
5	11	2025	12:13:00	Chambersburg	EEUU	Flash
23	10	2025	19:02	Bacoor	Filipinas	Flash
14	10	2025	6:55	Colinas El Dorado	EEUU	Flash
10	10	2025	23:50:00	Kilmarnock	Reino Unido	Flash
10	10	2025	21:05:00	Camarillo	EEUU	Flash
6	10	2025	19:30:00	Augusta	EEUU	Flash
28	9	2025	15:30	Pantano Blanco	EEUU	Flash
25	9	2025	12:05	Tempe	EEUU	Flash
21	9	2025	3:40	Moore	EEUU	Flash
16	9	2025	20:25	Davenport	EEUU	Flash
15	9	2025	20:45	Eygalières	Francia	Flash
15	9	2025	20:00	Nueva York	EEUU	Flash
9	9	2025	20:00:00	Haverhill	EEUU	Flash
25	8	2025	19:55	Bloomington	EEUU	Flash
19	8	2025	2:15	Florencia	EEUU	Flash
31	7	2025	5:07	Sidi Kacem	Marruecos	Flash
27	7	2025	22:15	Doole	EEUU	Flash
25	7	2025	23:27	Mesa	EEUU	Flash
25	7	2025	23:06	Paramaribo	Surinam	Flash
16	7	2025	3:43	Zephyrhills	EEUU	Flash
9	7	2025	4:00:00	Rochester	EEUU	Flash
28	6	2025	22:30	Missoula	EEUU	Flash
26	6	2025	22:08	Colón	EEUU	Flash
20	6	2025	21:50	Fulton	EEUU	Flash
14	6	2025	21:30	Joshua Tree	EEUU	Flash
1	6	2025	11:07:00	São Paulo	Brasil	Flash
30	5	2025	13:42	Virginia Beach	EEUU	Flash
