DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
28	1	2026	20:30	Mansfield	Reino Unido	Formación
18	1	2026	19:08	Sealy	EEUU	Formación
14	1	2026	23:49	No especificado	Brasil	Formación
8	1	2026	17:30:00	Topsham	Reino Unido	Formación
5	1	2026	18:19:00	Lufkin	EEUU	Formación
26	12	2025	21:00	Rhome	EEUU	Formación
26	12	2025	18:15	Huntersville	EEUU	Formación
25	12	2025	22:43	Rowlett	EEUU	Formación
25	12	2025	21:24	Nápoles	EEUU	Formación
6	12	2025	18:02:00	Colorado Springs	EEUU	Formación
3	12	2025	21:45:00	Dandridge	EEUU	Formación
28	11	2025	18:27	Palenque	México	Formación
20	11	2025	20:10	Big Horn	EEUU	Formación
20	11	2025	19:30	Bridgend	Reino Unido	Formación
14	11	2025	20:00	Medina	EEUU	Formación
13	11	2025	18:20	Warwick	EEUU	Formación
11	11	2025	22:00:00	Bellevue	EEUU	Formación
5	11	2025	18:10:00	Roswell	EEUU	Formación
4	11	2025	18:15:00	Puente de Norte	EEUU	Formación
30	10	2025	20:36	Rosedale	EEUU	Formación
29	10	2025	21:15	Enterprise	EEUU	Formación
25	10	2025	21:30	Mar del Plata	Argentina	Formación
22	10	2025	19:43	Upton	EEUU	Formación
22	10	2025	18:58	Iona	EEUU	Formación
17	10	2025	21:00	Guirnalda	EEUU	Formación
11	10	2025	13:05:00	Herrin	EEUU	Formación
9	10	2025	4:54:00	Grays	Reino Unido	Formación
8	10	2025	2:50:00	McKinleyville	EEUU	Formación
6	10	2025	10:06:00	Puercoespín	EEUU	Formación
2	10	2025	20:18:00	Bonifay	EEUU	Formación
1	10	2025	21:20:00	Poca	EEUU	Formación
30	9	2025	0:29	Lisboa	Portugal	Formación
27	9	2025	21:30	Holcomb	EEUU	Formación
24	9	2025	21:55	Roca Redonda	EEUU	Formación
22	9	2025	23:30	Avance	EEUU	Formación
21	9	2025	20:30	Ira	EEUU	Formación
20	9	2025	20:40	Urmia	Irán	Formación
13	9	2025	0:25	Zaton	Croacia	Formación
7	9	2025	21:00:00	Fuerte Atkinson	EEUU	Formación
31	8	2025	18:50	Burro Muerto	Chile	Formación
22	8	2025	22:30	Gearhart	EEUU	Formación
20	8	2025	22:30	Obispo	EEUU	Formación
20	8	2025	2:13	Belgrade	EEUU	Formación
20	8	2025	1:00	Waterville	EEUU	Formación
18	8	2025	23:15	Valle de Prescott	EEUU	Formación
12	8	2025	22:45:00	Valle del Toro	EEUU	Formación
12	8	2025	22:30:00	Middleburgh	EEUU	Formación
3	8	2025	9:45:00	Castelbuono	Italia	Formación
2	8	2025	22:30:00	La Ciudad de La Porte	EEUU	Formación
25	7	2025	12:05	Saint-Michel	Canadá	Formación
13	7	2025	19:40	Latrobe	EEUU	Formación
13	7	2025	9:45	Modesto	EEUU	Formación
11	7	2025	20:08:00	No especificado	Países Bajos	Formación
4	7	2025	0:00:00	Aurora	EEUU	Formación
