							
	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
	15	2	2026	21:30	Oklahoma City	EEUU	Galones
	27	1	2026	14:00	Longmont	EEUU	Galones
	7	1	2026	0:00:00	Lafayette	EEUU	Galones
	26	12	2025	20:18	Fletcher	EEUU	Galones
	19	12	2025	20:20	DeLand	EEUU	Galones
	16	12	2025	20:35	Kernersville	EEUU	Galones
	22	11	2025	15:10	Manchester	EEUU	Galones
	18	11	2025	19:30	No especificado	Samoa	Galones
	13	11	2025	20:46	Springfield	EEUU	Galones
	11	11	2025	2:50:00	Rockdale	Australia	Galones
	9	11	2025	2:30:00	Nashville	EEUU	Galones
	30	10	2025	19:32	Washington	EEUU	Galones
	27	10	2025	3:50	Brockville	Canadá	Galones
	26	10	2025	2:47	Marinette	EEUU	Galones
	24	10	2025	20:23	Longmont	EEUU	Galones
	23	10	2025	0:25	Loveland	EEUU	Galones
	21	10	2025	19:50	Hamburgo	EEUU	Galones
	19	10	2025	20:01	St. Louis	EEUU	Galones
	17	10	2025	21:10	Delhi	India	Galones
	16	10	2025	5:36	Fleetwood	EEUU	Galones
	16	10	2025	3:04	La Paz	México	Galones
	14	10	2025	20:10	Arvada	EEUU	Galones
	11	10	2025	4:30:00	Líbano	EEUU	Galones
	25	9	2025	20:40	Brighton	EEUU	Galones
	24	9	2025	21:20	Glencoe	EEUU	Galones
	22	9	2025	5:15	Woonsocket	EEUU	Galones
	28	8	2025	23:38	Los Ángeles	EEUU	Galones
	25	8	2025	22:22	Statesboro	EEUU	Galones
	16	8	2025	21:45	Bosque	EEUU	Galones
	5	8	2025	21:23:00	Port Clinton	EEUU	Galones
	22	7	2025	0:25	North Salem	EEUU	Galones
	20	7	2025	22:03	Belén	EEUU	Galones
	28	6	2025	0:30	Richlands	EEUU	Galones
	27	6	2025	17:15	Blofield	Reino Unido	Galones
	23	6	2025	2:10	Arroyo Stony	EEUU	Galones
	20	5	2025	1:00	No especificado	Bahamas	Galones
	19	5	2025	20:50	Hawthorne	EEUU	Galones
	16	5	2025	21:13	Alpharetta	EEUU	Galones
	10	5	2025	20:45:00	Rama Sur	EEUU	Galones
	8	5	2025	23:15:00	Órgano	EEUU	Galones
	4	5	2025	22:47:00	No especificado	India	Galones
	2	5	2025	23:13:00	Boise	EEUU	Galones
	1	5	2025	20:24:00	Vail	EEUU	Galones
	26	4	2025	18:35	Everett	EEUU	Galones
	25	4	2025	22:06	Lincoln	EEUU	Galones
	24	4	2025	22:15	Chester	EEUU	Galones
	23	4	2025	22:10	Chester	EEUU	Galones
	17	4	2025	21:50	Dunkerque	EEUU	Galones
	16	4	2025	19:50	Sandton	Sudáfrica	Galones
	3	4	2025	22:00:00	Marysville	EEUU	Galones
	28	3	2025	21:15	Stourbridge	Reino Unido	Galones
	24	3	2025	22:40	Nampa	EEUU	Galones
	19	3	2025	20:40	Vermont	Sudáfrica	Galones
	18	3	2025	11:15	Loudon	EEUU	Galones
	17	3	2025	4:06	Colorado Springs	EEUU	Galones
	14	3	2025	23:00	San Luis Obispo	EEUU	Galones
	14	3	2025	2:01	Newton	EEUU	Galones
	14	3	2025	1:01	Olathe	EEUU	Galones
	4	3	2025	23:45:00	Filadelfia	EEUU	Galones
	28	2	2025	23:20	Charles Town	EEUU	Galones
	26	2	2025	6:55	Pennsboro	EEUU	Galones
	12	2	2025	21:30:00	San Antonio	EEUU	Galones
	5	2	2025	20:30:00	Indialantic	EEUU	Galones
	28	1	2025	21:00	Pageland	EEUU	Galones
	27	1	2025	20:49	Tierra de Azúcar	EEUU	Galones
	26	1	2025	5:45	Nueva York	EEUU	Galones
	24	1	2025	22:43	Patchogue	EEUU	Galones
	22	1	2025	5:40	Agujas	EEUU	Galones
	8	1	2025	10:00:00	Ciudad Victoria	México	Galones
	19	12	2024	21:59	Cleethorpes	Reino Unido	Galones
	16	12	2024	23:12	Richmond	EEUU	Galones
	13	12	2024	20:00	No especificado	EEUU	Galones
	12	12	2024	21:07:00	Wilmington	EEUU	Galones
	12	12	2024	19:02:00	Rosemark	EEUU	Galones
	9	12	2024	18:28:00	Dunas de Ogden	EEUU	Galones
	7	12	2024	11:00:00	Essex	EEUU	Galones
	6	12	2024	18:30:00	Bridgeville	EEUU	Galones
	5	12	2024	16:55:00	Veszprém	Hungría	Galones
	3	12	2024	19:30:00	Richmond Heights	EEUU	Galones
	2	12	2024	9:35:00	Chicago	EEUU	Galones
	27	11	2024	1:00	Playa de Daytona	EEUU	Galones
	27	11	2024	0:13	Dennis	EEUU	Galones
	25	11	2024	19:40	Fayetteville	EEUU	Galones
	24	11	2024	22:00	Harvey	EEUU	Galones
	24	11	2024	3:30	Boise	EEUU	Galones
	21	11	2024	22:25	Kansas City	EEUU	Galones
	21	11	2024	19:15	Parkton	EEUU	Galones
	17	11	2024	19:36	Álamo	EEUU	Galones
	14	11	2024	23:35	Houston	EEUU	Galones
	12	11	2024	22:30:00	Cayo Hueso	EEUU	Galones
	6	11	2024	7:14:00	Colville	EEUU	Galones
	1	11	2024	20:30:00	Manantiales de Eureka	EEUU	Galones
	23	10	2024	22:45	Cape Coral	EEUU	Galones
	23	10	2024	22:45	Saluda	EEUU	Galones
	20	10	2024	1:15	Rápidos Cedar	EEUU	Galones
	14	10	2024	11:30	Santa Rosa	EEUU	Galones
	13	10	2024	15:45	San Francisco	EEUU	Galones
	10	10	2024	22:45:00	Richmond	Canadá	Galones
	10	10	2024	20:55:00	Joshua Tree	EEUU	Galones
	10	10	2024	20:45:00	Joshua Tree	EEUU	Galones
	7	10	2024	22:40:00	Destin	EEUU	Galones
	7	10	2024	21:30:00	Monterey	EEUU	Galones
	6	10	2024	19:06:00	Hamirpur	India	Galones
	2	10	2024	0:57:00	Destin	EEUU	Galones
	30	9	2024	5:15	Valle de Spokane	EEUU	Galones
	29	9	2024	5:32	Madison	EEUU	Galones
	28	9	2024	20:15	Pez lanza	EEUU	Galones
	27	9	2024	21:46	Seffner	EEUU	Galones
	13	9	2024	21:23	Leavenworth	EEUU	Galones
	12	9	2024	21:30:00	San Antonio	EEUU	Galones
	11	9	2024	23:45:00	Hackensack	EEUU	Galones
	5	9	2024	20:00:00	Burnsville	EEUU	Galones
	5	9	2024	19:05:00	Poughkeepsie	EEUU	Galones
	2	9	2024	18:35:00	Kinnegad	Irlanda	Galones
	28	8	2024	23:30	Las Vegas	EEUU	Galones
	9	8	2024	21:18:00	Chicago	EEUU	Galones
	6	8	2024	0:44:00	Stanwood	EEUU	Galones
	1	8	2024	22:00:00	Sanford	EEUU	Galones
	26	7	2024	23:57	Escondido	EEUU	Galones
	17	7	2024	21:15	Warrenton	EEUU	Galones
	2	7	2024	21:11:00	Wantagh	EEUU	Galones
	1	7	2024	22:10:00	Ciudad de Suiza	EEUU	Galones
	5	6	2024	20:14:00	Parque Tinley	EEUU	Galones
	2	6	2024	21:30:00	Indian Wells	EEUU	Galones
	21	5	2024	23:59	Orlando	EEUU	Galones
	18	5	2024	20:41	Huracán	EEUU	Galones
	27	4	2024	20:45	Dennis	EEUU	Galones
	18	3	2024	19:40	Sleaford	Reino Unido	Galones
	14	3	2024	23:00	Cataratas Columbia	EEUU	Galones
	13	3	2024	3:20	Cataratas de Idaho	EEUU	Galones
	9	3	2024	20:24:00	Palm Springs	EEUU	Galones
	7	3	2024	2:45:00	Cataratas Sioux	EEUU	Galones
	26	2	2024	21:26	Marion	EEUU	Galones
	6	2	2024	20:49:00	Dublín	EEUU	Galones
	4	2	2024	19:55:00	Arvada	EEUU	Galones
	14	1	2024	16:42	Easton	EEUU	Galones
	9	1	2024	21:00:00	Lindau	Alemania	Galones
	25	12	2023	17:15	Marblehead	EEUU	Galones
	17	12	2023	15:00	Malibu	EEUU	Galones
	11	12	2023	16:45:00	Morro Bay	EEUU	Galones
	8	12	2023	20:00:00	Pittsburgh	EEUU	Galones
	6	12	2023	0:48:00	Austin	EEUU	Galones
	26	11	2023	22:45	Tallahassee	EEUU	Galones
	23	11	2023	2:41	Grand Island	EEUU	Galones
	21	11	2023	4:03	San Clemente	EEUU	Galones
	8	11	2023	21:32:00	Longview	EEUU	Galones
	5	11	2023	14:50:00	Indianápolis	EEUU	Galones
	3	11	2023	20:20:00	Melbourne	EEUU	Galones
	2	11	2023	22:25:00	Cataratas Sioux	EEUU	Galones
	14	10	2023	22:00	Richardson	EEUU	Galones
	7	10	2023	21:10:00	Springfield	EEUU	Galones
	5	10	2023	22:10:00	West Kelowna	Canadá	Galones
	5	10	2023	20:06:00	Topeka	EEUU	Galones
	5	10	2023	17:51:00	Llanuras Blancas	EEUU	Galones
	3	10	2023	20:45:00	Pueblo de Carmel fuera de la ciudad de Millville	EEUU	Galones
	1	10	2023	19:38:00	ENFIELD	EEUU	Galones
	1	10	2023	1:00:00	Alturas de Broadview	EEUU	Galones
	30	9	2023	21:45	Ciudad Rápida	EEUU	Galones
	14	9	2023	23:30	Santa Rosa Beach	EEUU	Galones
	3	9	2023	0:17:00	Clearwater	EEUU	Galones
	16	8	2023	0:00	Moab	EEUU	Galones
	3	8	2023	22:30:00	Hopkinton	EEUU	Galones
	31	7	2023	20:15	Martin’s River	Canadá	Galones
	26	7	2023	23:00	Spokane	EEUU	Galones
	25	7	2023	23:00	Powell Junction	EEUU	Galones
	19	7	2023	21:45	Dixon	EEUU	Galones
	18	7	2023	3:15	Fredericksburg	International Waters	Galones
	14	7	2023	1:26	Carmel	EEUU	Galones
	10	7	2023	22:00:00	No especificado	Canadá	Galones
	3	7	2023	23:00:00	Lincoln	EEUU	Galones
	30	6	2023	14:00	Winnemucca	EEUU	Galones
	28	6	2023	0:47	Lamont	EEUU	Galones
	22	6	2023	13:45	Cleveland	EEUU	Galones
	17	6	2023	22:40	DuBois	EEUU	Galones
	15	6	2023	14:00	Fultondale	EEUU	Galones
	10	6	2023	23:30:00	Kuna	EEUU	Galones
	3	6	2023	23:30:00	Dresher	EEUU	Galones
	2	6	2023	22:15:00	Santa Clara	EEUU	Galones
	18	5	2023	22:00	Leetonia	EEUU	Galones
	2	5	2023	1:59:00	Grand Island	EEUU	Galones
	21	4	2023	0:24	Largo	EEUU	Galones
	20	4	2023	21:30	Ambridge	EEUU	Galones
	17	4	2023	21:50	Virginia Beach	EEUU	Galones
	30	3	2023	16:19	Meriden	EEUU	Galones
	29	3	2023	21:10	Kirkland	EEUU	Galones
	18	3	2023	21:30	Revere	EEUU	Galones
	11	3	2023	18:05:00	Apache Junction	EEUU	Galones
	9	3	2023	20:55:00	Ermita	EEUU	Galones
	18	2	2023	21:30	Gainesville	EEUU	Galones
	16	2	2023	19:58	Nápoles	EEUU	Galones
	13	2	2023	19:23	Dover	EEUU	Galones
	10	2	2023	13:24:00	Región de los Lagos	Canadá	Galones
	9	2	2023	20:30:00	Reisterstown	EEUU	Galones
	2	2	2023	20:30:00	Bremen	EEUU	Galones
	29	1	2023	22:24	Northport	EEUU	Galones
	20	1	2023	22:00	Cincinnati	EEUU	Galones
	18	1	2023	23:50	Killeen	EEUU	Galones
	14	1	2023	22:00	DEKALB	EEUU	Galones
	13	1	2023	17:03	Toms River	EEUU	Galones
	11	1	2023	11:44:00	Playa Delray	EEUU	Galones
	8	1	2023	17:21:00	Madison	EEUU	Galones
	4	1	2023	21:15:00	Forney	EEUU	Galones
	23	12	2022	12:35	Whittier	EEUU	Galones
	2	12	2022	13:15:00	Clover	EEUU	Galones
	19	11	2022	21:56	Cockeysville	EEUU	Galones
	12	11	2022	0:08:00	Lawrence	EEUU	Galones
	10	11	2022	21:30:00	Dekalb	EEUU	Galones
	8	11	2022	5:28:00	Cumming	EEUU	Galones
	7	11	2022	17:20:00	Greenwich	EEUU	Galones
	31	10	2022	22:45	Nuevo Braunfels	EEUU	Galones
	29	10	2022	2:32	Denver	EEUU	Galones
	27	10	2022	21:30	DUGSPUR	EEUU	Galones
	27	10	2022	21:27	Tunkhannock	EEUU	Galones
	27	10	2022	21:04	Baltimore	EEUU	Galones
	22	10	2022	0:53	Grandview	EEUU	Galones
	21	10	2022	22:00	Merriam	EEUU	Galones
	18	10	2022	22:45	Rosenberg	EEUU	Galones
	18	10	2022	20:00	Jacksonville	EEUU	Galones
	16	10	2022	17:00	Tempe	EEUU	Galones
	5	10	2022	23:10	Baltimore	EEUU	Galones
	21	9	2022	5:10	The Woodlands/Spring	EEUU	Galones
	15	9	2022	22:37	Arlington Heights	EEUU	Galones
	11	9	2022	21:16	Lubbock	EEUU	Galones
	23	8	2022	19:35	New York	EEUU	Galones
	23	8	2022	16:25	Portola	EEUU	Galones
	19	8	2022	23:44	Sweet	EEUU	Galones
	14	8	2022	13:00	escondido	EEUU	Galones
	14	8	2022	1:48	Highbridge	Reino Unido	Galones
	10	8	2022	19:31	Sierra Madre	EEUU	Galones
	7	8	2022	0:30	Vineyard	EEUU	Galones
	22	7	2022	20:10	Levittown	EEUU	Galones
	22	7	2022	15:10	Prineville	EEUU	Galones
	21	7	2022	0:15	Oceanside	EEUU	Galones
	17	7	2022	21:48	Oak Forest	EEUU	Galones
	16	7	2022	23:00	Athens	EEUU	Galones
	16	7	2022	4:53	No especificado	Australia	Galones
	3	7	2022	13:45	Rock Island	EEUU	Galones
	30	6	2022	21:00	Williamson Valley	EEUU	Galones
	8	6	2022	13:07	Glendale	EEUU	Galones
	4	6	2022	20:35	Prescott Valley	EEUU	Galones
	28	5	2022	22:25	Fort Collins	EEUU	Galones
	28	5	2022	20:56	Norfolk	EEUU	Galones
	21	5	2022	21:30	Dundalk	EEUU	Galones
	27	4	2022	22:00	Hibbing	EEUU	Galones
	27	4	2022	20:15	The Villages	EEUU	Galones
	26	4	2022	22:57	Denton	EEUU	Galones
