DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
2	2	2026	15:00:00	Seattle	EEUU	Lágrima
20	1	2026	6:50	Sandston	EEUU	Lágrima
14	12	2025	20:28	Boston	EEUU	Lágrima
8	12	2025	18:10:00	Houma	EEUU	Lágrima
6	11	2025	2:00:00	Framingham	EEUU	Lágrima
30	10	2025	19:32	Arroyo Stony	EEUU	Lágrima
15	10	2025	7:37	Edwardsville	EEUU	Lágrima
15	10	2025	3:15	Horton	EEUU	Lágrima
13	10	2025	19:36	Ocala	EEUU	Lágrima
10	10	2025	18:19:00	Lon	EEUU	Lágrima
18	9	2025	20:00	Altoona	EEUU	Lágrima
14	9	2025	19:30	Albuquerque	EEUU	Lágrima
10	9	2025	13:49:00	Colón	EEUU	Lágrima
9	9	2025	20:35:00	Ayudante	EEUU	Lágrima
3	9	2025	14:30:00	Richmond	EEUU	Lágrima
26	7	2025	5:00	Ellicott City	EEUU	Lágrima
25	7	2025	12:00	No especificado	EEUU	Lágrima
15	7	2025	21:30	Shelbyville	EEUU	Lágrima
12	7	2025	21:31:00	Lansing	EEUU	Lágrima
5	6	2025	6:47:00	Jackson	EEUU	Lágrima
2	6	2025	12:08:00	Malpas	Reino Unido	Lágrima
24	5	2025	16:00	Mishicot	EEUU	Lágrima
21	5	2025	5:03	Ferzol	Líbano	Lágrima
5	5	2025	8:30:00	Houma	EEUU	Lágrima
1	5	2025	21:04:00	Trumbull	EEUU	Lágrima
27	4	2025	23:30	Auburndale	EEUU	Lágrima
16	4	2025	5:45	No especificado	EEUU	Lágrima
11	4	2025	21:14:00	Junee	Australia	Lágrima
22	3	2025	23:00	Weston	EEUU	Lágrima
17	3	2025	23:23	Aurora	EEUU	Lágrima
3	2	2025	21:30:00	Stockton	EEUU	Lágrima
2	2	2025	16:00:00	La Caleta	España	Lágrima
24	1	2025	6:12	Oceano	EEUU	Lágrima
24	1	2025	6:00	Orangevale	EEUU	Lágrima
9	1	2025	7:35:00	Jacksonville	EEUU	Lágrima
6	1	2025	21:11:00	Estação	Brasil	Lágrima
31	12	2024	23:40	Estambul	Turquía	Lágrima
28	12	2024	15:58	Ankeny	EEUU	Lágrima
27	12	2024	22:30	Campo de bolos	EEUU	Lágrima
12	12	2024	22:45:00	East Providence	EEUU	Lágrima
4	12	2024	15:22:00	Londres	Reino Unido	Lágrima
18	11	2024	19:30	No especificado	EEUU	Lágrima
15	11	2024	14:15	Nyack	EEUU	Lágrima
12	11	2024	19:49:00	Madison	EEUU	Lágrima
24	10	2024	8:45	Ebensburg	EEUU	Lágrima
20	10	2024	18:30	Huntsville	EEUU	Lágrima
9	10	2024	20:56:00	Singapur	Singapur	Lágrima
11	9	2024	22:15:00	Cataratas de Idaho	EEUU	Lágrima
3	9	2024	12:15:00	Bellwood	EEUU	Lágrima
30	8	2024	11:45	Bellevue	EEUU	Lágrima
22	8	2024	21:00	Tiptonville	EEUU	Lágrima
10	8	2024	8:00:00	Remsen	EEUU	Lágrima
3	8	2024	16:27:00	Jefferson	EEUU	Lágrima
21	4	2024	13:10	Rancho Cordova	EEUU	Lágrima
4	4	2024	1:00:00	Punta Gorda	EEUU	Lágrima
2	4	2024	19:29:00	Gravellas	EEUU	Lágrima
30	3	2024	5:58	Glendale	EEUU	Lágrima
6	2	2024	13:33:00	Brandon	EEUU	Lágrima
3	2	2024	10:00:00	Gallatin	EEUU	Lágrima
10	1	2024	16:38:00	Hebert	EEUU	Lágrima
6	1	2024	15:34:00	Los Ángeles	EEUU	Lágrima
21	12	2023	16:35	Newton	EEUU	Lágrima
5	12	2023	3:20:00	Temple Bar Marina	EEUU	Lágrima
12	11	2023	15:19:00	Culver City	EEUU	Lágrima
12	11	2023	12:30:00	Los Ángeles	EEUU	Lágrima
15	10	2023	22:50	No especificado	EEUU	Lágrima
29	9	2023	10:10	Enterprise	EEUU	Lágrima
27	9	2023	18:16	Cambridge	EEUU	Lágrima
18	9	2023	21:38	Yakima	EEUU	Lágrima
12	9	2023	23:00:00	Las Vegas	EEUU	Lágrima
7	9	2023	19:00:00	Belén	EEUU	Lágrima
29	8	2023	22:12	Colinas El Dorado	EEUU	Lágrima
