								
	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA	
	23	2	2026	22:12	Davenport	EEUU	Luz	
	23	2	2026	20:30	Burlington	Canadá	Luz	
	23	2	2026	2:52	Base Aérea de Eglin	EEUU	Luz	
	21	2	2026	18:02	Miami	EEUU	Luz	
	19	2	2026	19:25	Abetos blancos	EEUU	Luz	
	18	2	2026	3:49	Ciudad de Missouri	EEUU	Luz	
	18	2	2026	3:30	Sacramento	EEUU	Luz	
	16	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
	15	23	2	2026	22:12	Davenport	EEUU	Luz
	15	23	2	2026	20:30	Burlington	Canadá	Luz
	14	23	2	2026	2:52	Base Aérea de Eglin	EEUU	Luz
	13	21	2	2026	18:02	Miami	EEUU	Luz
	11	19	2	2026	19:25	Abetos blancos	EEUU	Luz
	10	18	2	2026	3:49	Ciudad de Missouri	EEUU	Luz
	9	18	2	2026	3:30	Sacramento	EEUU	Luz
	7	16	2	2026	1:55	Prescott	EEUU	Luz
	6	15	2	2026	18:10	Peoria	EEUU	Luz
	6	15	2	2026	2:33	Filadelfia	EEUU	Luz
	5	14	2	2026	19:05	Des Moines	EEUU	Luz
	5	13	2	2026	5:40	Colorado Springs	EEUU	Luz
	5	11	2	2026	19:40:00	Barnhart	EEUU	Luz
	5	10	2	2026	11:30:00	No especificado	Estonia	Luz
	2	9	2	2026	20:55:00	Jacksonville	EEUU	Luz
	2	7	2	2026	13:00:00	Yuma	EEUU	Luz
	1	6	2	2026	23:16:00	Rancho de la Montaña	EEUU	Luz
	28	6	2	2026	4:47:00	Tigard	EEUU	Luz
	28	5	2	2026	21:15:00	Maxwell	EEUU	Luz
	28	5	2	2026	19:37:00	Ballintober	Irlanda	Luz
	28	5	2	2026	19:30:00	Cataratas Americanas	EEUU	Luz
	27	5	2	2026	0:27:00	Portland	EEUU	Luz
	26	2	2	2026	20:59:00	Laguna	EEUU	Luz
	20	2	2	2026	20:10:00	Tennant	EEUU	Luz
	19	1	2	2026	22:30:00	Kissimmee	EEUU	Luz
	18	28	1	2026	20:00	Malibu	EEUU	Luz
	18	28	1	2026	18:20	Weesp	Países Bajos	Luz
	18	28	1	2026	8:20	Polo Norte	EEUU	Luz
	18	28	1	2026	3:45	Chambersburg	EEUU	Luz
	18	27	1	2026	3:13	Moscú	EEUU	Luz
	18	26	1	2026	20:01	No especificado	Brasil	Luz
	18	20	1	2026	3:19	Bath	EEUU	Luz
	18	19	1	2026	19:45	Jataizinho	Brasil	Luz
	18	18	1	2026	19:13	Ciudad de Denver	EEUU	Luz
	18	18	1	2026	19:08	Ciudad de Missouri	EEUU	Luz
	17	18	1	2026	19:06	San Antonio	EEUU	Luz
	17	18	1	2026	19:05	Fort Worth	EEUU	Luz
	16	18	1	2026	18:30	Rifle	EEUU	Luz
	15	18	1	2026	18:15	Manzanola	EEUU	Luz
	13	18	1	2026	18:04	Santa Fe	EEUU	Luz
	12	18	1	2026	18:03	Durango	EEUU	Luz
	11	18	1	2026	18:03	Brule	EEUU	Luz
	11	18	1	2026	6:00	Colorado City	EEUU	Luz
	10	17	1	2026	21:20	Atlantic City	EEUU	Luz
	9	17	1	2026	21:00	Medicine Hat	Canadá	Luz
	8	16	1	2026	4:30	North Bend	EEUU	Luz
	8	15	1	2026	16:00	Gungahlin	Australia	Luz
	7	13	1	2026	18:15	Westfield	EEUU	Luz
	7	12	1	2026	20:42:00	No especificado	Brasil	Luz
	5	11	1	2026	21:00:00	Cape Saint Francis	Sudáfrica	Luz
	4	11	1	2026	5:10:00	Waikoloa Beach Resort	EEUU	Luz
	4	10	1	2026	19:00:00	Cassatt	EEUU	Luz
	4	9	1	2026	9:09:00	Wailea-Makena	EEUU	Luz
	3	8	1	2026	21:23:00	Sayre	EEUU	Luz
	2	8	1	2026	19:30:00	Gasport	EEUU	Luz
	2	7	1	2026	18:54:00	No especificado	Portugal	Luz
	2	7	1	2026	1:08:00	Odessa	EEUU	Luz
	31	5	1	2026	18:15:00	Denver	EEUU	Luz
	28	4	1	2026	20:33:00	Belle	EEUU	Luz
	27	4	1	2026	10:30:00	Palm Bay	EEUU	Luz
	27	4	1	2026	0:10:00	No especificado	Kuwait	Luz
	26	3	1	2026	0:30:00	Hastings	Reino Unido	Luz
	25	2	1	2026	19:14:00	Wagon Wheel	EEUU	Luz
	24	2	1	2026	18:14:00	Boulder City	EEUU	Luz
