							
	DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
	22	2	2026	19:25	Albuquerque	EEUU	Orbe
	22	2	2026	16:15	Lexington	EEUU	Orbe
	20	2	2026	21:00	Hidromiel	EEUU	Orbe
	18	2	2026	23:32	Cincinnati	EEUU	Orbe
	16	2	2026	20:25	No especificado	Brasil	Orbe
	16	2	2026	17:11	Providence	EEUU	Orbe
	14	2	2026	18:30	Greendale	EEUU	Orbe
	13	2	2026	5:50	Fresno	EEUU	Orbe
	11	2	2026	18:30:00	Rápidos de Wisconsin	EEUU	Orbe
	10	2	2026	20:30:00	Cruce de la Cueva	EEUU	Orbe
	9	2	2026	20:17:00	Escondido	EEUU	Orbe
	6	2	2026	6:05:00	Arroyo Robie	EEUU	Orbe
	5	2	2026	21:40:00	Salem	EEUU	Orbe
	5	2	2026	19:37:00	Johannesburgo	Sudáfrica	Orbe
	5	2	2026	17:34:00	Costas del océano	EEUU	Orbe
	4	2	2026	19:00:00	No especificado	Granada	Orbe
	2	2	2026	15:45:00	Seymour	EEUU	Orbe
	1	2	2026	16:10:00	Saltash	Reino Unido	Orbe
	30	1	2026	4:20	Fairbanks	EEUU	Orbe
	28	1	2026	18:30	Richland	EEUU	Orbe
	27	1	2026	19:57	Eagle Pass	EEUU	Orbe
	25	1	2026	21:29	Monte Colah	Australia	Orbe
	25	1	2026	21:00	Cayucos	EEUU	Orbe
	25	1	2026	0:26	Owensboro	EEUU	Orbe
	22	1	2026	22:00	San Fernando	EEUU	Orbe
	21	1	2026	20:19	No especificado	Canadá	Orbe
	19	1	2026	19:00	Montículo de Escamas	EEUU	Orbe
	18	1	2026	19:20	Chatfield	EEUU	Orbe
	18	1	2026	19:08	Fort Worth	EEUU	Orbe
	18	1	2026	19:06	Granbury	EEUU	Orbe
	18	1	2026	19:06	Katy	EEUU	Orbe
	18	1	2026	19:02	Hidroeléctrica	EEUU	Orbe
	18	1	2026	19:00	Yoakum	EEUU	Orbe
	18	1	2026	19:00	Fort Worth	EEUU	Orbe
	18	1	2026	19:00	Thompsonville	EEUU	Orbe
	18	1	2026	18:10	Saint Johns	EEUU	Orbe
	18	1	2026	18:05	Pecos	EEUU	Orbe
	18	1	2026	17:18	Mooresville	EEUU	Orbe
	17	1	2026	20:01	Florencia	EEUU	Orbe
	17	1	2026	20:00	Alma	EEUU	Orbe
	13	1	2026	18:15	Kokomo	EEUU	Orbe
	13	1	2026	15:50	Belo Horizonte	Brasil	Orbe
	12	1	2026	23:00:00	Mesa	EEUU	Orbe
	12	1	2026	20:28:00	Cucaracha	EEUU	Orbe
	12	1	2026	18:20:00	Rochester	EEUU	Orbe
	11	1	2026	22:00:00	Naperville	EEUU	Orbe
	11	1	2026	20:54:00	Plymouth	EEUU	Orbe
	11	1	2026	18:49:00	Bridgewater	EEUU	Orbe
	11	1	2026	17:33:00	No especificado	Chequia	Orbe
	11	1	2026	4:35:00	Rancho Mirage	EEUU	Orbe
	10	1	2026	20:30:00	Rooty Hill	Australia	Orbe
	9	1	2026	3:00:00	Saugerties	EEUU	Orbe
	6	1	2026	20:30:00	Ottumwa	EEUU	Orbe
	6	1	2026	19:58:00	Geary	EEUU	Orbe
	4	1	2026	22:00:00	Spencer	EEUU	Orbe
	4	1	2026	20:00:00	Pederneiras	Brasil	Orbe
