DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
19	2	2026	20:45	Playa West Palm	EEUU	Otros
19	2	2026	19:00	Lorane	EEUU	Otros
12	2	2026	19:00:00	Raleigh	EEUU	Otros
20	1	2026	18:50	Omaha	EEUU	Otros
18	1	2026	14:30	Colusa	EEUU	Otros
17	1	2026	20:10	Williston	EEUU	Otros
13	1	2026	18:10	Tipton	EEUU	Otros
13	1	2026	7:30	Beaverton	EEUU	Otros
12	1	2026	1:20:00	Jamshedpur	India	Otros
10	1	2026	22:30:00	Ciudad del Cabo	Sudáfrica	Otros
7	1	2026	2:50:00	Odesa	EEUU	Otros
6	1	2026	17:00:00	Ciudad del Medio Oeste	EEUU	Otros
26	12	2025	23:59		EEUU	Otros
23	12	2025	20:53	Connersville	EEUU	Otros
16	12	2025	16:00	Iuka	EEUU	Otros
15	12	2025	19:12	Surrey	Canadá	Otros
13	12	2025	23:20	San Jorge	EEUU	Otros
12	12	2025	16:20:00	Midlothian	EEUU	Otros
3	12	2025	4:20:00	Barra de oro	EEUU	Otros
25	11	2025	20:15	Sonido Hobe	EEUU	Otros
25	11	2025	19:10	Sunnyvale	EEUU	Otros
24	11	2025	18:46	Bairro	Portugal	Otros
24	11	2025	0:50	Virginia Beach	EEUU	Otros
22	11	2025	8:37	Santa María	EEUU	Otros
18	11	2025	15:30	SeaTac	EEUU	Otros
18	11	2025	0:47		No especificado	Otros
17	11	2025	17:41	Escocia	EEUU	Otros
15	11	2025	15:00	Fuente de campana	EEUU	Otros
13	11	2025	10:23	Mount Pleasant	EEUU	Otros
12	11	2025	21:35:00	Orrville	EEUU	Otros
12	11	2025	20:05:00	Greenville	EEUU	Otros
11	11	2025	20:30:00	Savannah	EEUU	Otros
10	11	2025	22:50:00	Colorado Springs	EEUU	Otros
10	11	2025	22:40:00	Nekemte	Etiopía	Otros
9	11	2025	18:22:00	Fort Lauderdale	EEUU	Otros
7	11	2025	19:05:00	Ross	EEUU	Otros
7	11	2025	17:24:00	Curva	EEUU	Otros
4	11	2025	22:01:00	Parque Allison	EEUU	Otros
4	11	2025	20:22:00	Tomball	EEUU	Otros
4	11	2025	19:00:00	Monmouth	EEUU	Otros
4	11	2025	18:10:00	Eastham	EEUU	Otros
4	11	2025	18:07:00	Richmond	EEUU	Otros
4	11	2025	18:05:00	Valle de Stillman	EEUU	Otros
4	11	2025	18:01:00	Milford	EEUU	Otros
4	11	2025	17:45:00	Monroe	EEUU	Otros
3	11	2025	7:30:00	Ciudad de Lenoir	EEUU	Otros
30	10	2025	22:18	Rebecca	EEUU	Otros
29	10	2025	18:28	Normanton le Heath	Reino Unido	Otros
25	10	2025	18:53	Moscú	EEUU	Otros
21	10	2025	19:00	New Haven	EEUU	Otros
20	10	2025	23:35	Winona	EEUU	Otros
20	10	2025	11:57	Roma	EEUU	Otros
19	10	2025	22:30	Asheville	EEUU	Otros
19	10	2025	2:45	Hallettsville	EEUU	Otros
17	10	2025	21:23	Springfield	EEUU	Otros
16	10	2025	23:30	Jacksonville	EEUU	Otros
16	10	2025	20:10	Erie	EEUU	Otros
15	10	2025	19:00	Harlingen	EEUU	Otros
15	10	2025	18:50	Manantial Willow	EEUU	Otros
14	10	2025	13:00	Manantiales de azufre Caliente	EEUU	Otros
12	10	2025	15:46:00	Swanton	EEUU	Otros
11	10	2025	9:30:00	Scone	Australia	Otros
9	10	2025	23:45:00	Albany	EEUU	Otros
5	10	2025	23:30:00		EEUU	Otros
5	10	2025	17:35:00	Newburgh	EEUU	Otros
3	10	2025	8:45:00	Mallacoota	Australia	Otros
3	10	2025	3:00:00	Bangkok	Tailandia	Otros
2	10	2025	6:13:00	Springfield	EEUU	Otros
26	9	2025	11:30	Warrenton	EEUU	Otros
26	9	2025	8:30	Ann Arbor	EEUU	Otros
25	9	2025	21:45	East Chatham	EEUU	Otros
25	9	2025	3:27	Peterborough	Reino Unido	Otros
23	9	2025	14:17	Radcliffe en Trent	Reino Unido	Otros
22	9	2025	21:43	Monte Clemens	EEUU	Otros
18	9	2025	22:15	Stockton	EEUU	Otros
14	9	2025	19:00	Santa Fe	EEUU	Otros
13	9	2025	19:34	Cerdeña	EEUU	Otros
11	9	2025	7:00:00	Salina	EEUU	Otros
11	9	2025	7:00:00	Salina	EEUU	Otros
6	9	2025	16:57:00	Rosemount	EEUU	Otros
6	9	2025	16:49:00	Ciudad de Plata	EEUU	Otros
5	9	2025	0:34:00	Westwego	EEUU	Otros
2	9	2025	10:15:00	Camano	EEUU	Otros
1	9	2025	23:29:00	Cabo de Alexandra	Australia	Otros
1	9	2025	23:15:00	Sabaneta	Colombia	Otros
1	9	2025	23:10:00	Naperville	EEUU	Otros
30	8	2025	1:05	Preeceville	Canadá	Otros
28	8	2025	6:30	Findlay	EEUU	Otros
27	8	2025	20:09	Greenville	EEUU	Otros
26	8	2025	19:14	Indio	EEUU	Otros
23	8	2025	13:20	Taylor	EEUU	Otros
21	8	2025	20:00	Enschede	Países Bajos	Otros
18	8	2025	0:45	Obispo	EEUU	Otros
17	8	2025	3:30	Calgary	Canadá	Otros
16	8	2025	1:00		EEUU	Otros
15	8	2025	5:12	Bhairab	Bangladés	Otros
14	8	2025	15:30	Parkersburg	EEUU	Otros
9	8	2025	23:18:00	Fayetteville	EEUU	Otros
9	8	2025	22:00:00	Patras	Grecia	Otros
9	8	2025	1:00:00	Rio Rancho	EEUU	Otros
3	8	2025	10:30:00	Santa Rosa	EEUU	Otros
29	7	2025	11:40	Puertas	EEUU	Otros
28	7	2025	12:45	Weesp	Países Bajos	Otros
26	7	2025	12:57	Milford	EEUU	Otros
26	7	2025	2:30	Hormigón	EEUU	Otros
25	7	2025	4:00	Mar de Ajó	Argentina	Otros
24	7	2025	16:35	Marcola	EEUU	Otros
23	7	2025	22:23		Turquía	Otros
23	7	2025	5:30	El Paso	EEUU	Otros
22	7	2025	23:30	Cataratas del Bosque	EEUU	Otros
22	7	2025	19:00	Buffalo	EEUU	Otros
20	7	2025	18:15	Valle de la Hierba	EEUU	Otros
19	7	2025	20:00	Cripple Creek	EEUU	Otros
16	7	2025	13:32	Murray	EEUU	Otros
13	7	2025	8:37	Dayton	EEUU	Otros
7	7	2025	10:00:00	Mesa	EEUU	Otros
5	7	2025	23:43:00	Tokeland	EEUU	Otros
5	7	2025	2:00:00	Playa Laguna	EEUU	Otros
27	6	2025	1:05	Corpus Christi	EEUU	Otros
24	6	2025	16:45	Nueva York	EEUU	Otros
23	6	2025	18:28	Cabo San Lucas	México	Otros
22	6	2025	21:01	Mauá	Brasil	Otros
20	6	2025	12:00	Portland	EEUU	Otros
19	6	2025	3:30	Linden	Alemania	Otros
17	6	2025	22:01	Naramata	Canadá	Otros
15	6	2025	22:43	Miami	EEUU	Otros
14	6	2025	1:30	Silver Springs	EEUU	Otros
11	6	2025	11:30:00	Longview	EEUU	Otros
6	6	2025	22:30:00	Richardson	EEUU	Otros
6	6	2025	2:22:00	Santa Fe	EEUU	Otros
5	6	2025	17:33:00	Villeta	Paraguay	Otros
5	6	2025	10:50:00	Valle de Spring	EEUU	Otros
5	6	2025	3:00:00	Durban	Sudáfrica	Otros
4	6	2025	11:00:00	Santo Domingo	Costa Rica	Otros
2	6	2025	18:36:00	Líbano	EEUU	Otros
1	6	2025	16:15:00	Emporia	EEUU	Otros
29	5	2025	6:00	Poukawa	Nueva Zelanda	Otros
29	5	2025	2:10	Logia Roja	Reino Unido	Otros
28	5	2025	15:30		No especificado	Otros
26	5	2025	20:35	Windsor	EEUU	Otros
25	5	2025	4:30	Arlington	EEUU	Otros
22	5	2025	21:54	Kennewick	EEUU	Otros
18	5	2025	0:27	Chicago	EEUU	Otros
14	5	2025	18:50	Tucumcari	EEUU	Otros
12	5	2025	14:45:00	Flint	EEUU	Otros
11	5	2025	22:15:00	Greenville	EEUU	Otros
8	5	2025	17:00:00	Rápidos Cedar	EEUU	Otros
4	5	2025	3:00:00	Spokane	EEUU	Otros
2	5	2025	23:14:00	Kilmarnock	Reino Unido	Otros
2	5	2025	22:00:00	Pacific Grove	EEUU	Otros
1	5	2025	20:52:00	Gilbert	EEUU	Otros
1	5	2025	20:37:00	Astana	Kazajistán	Otros
1	5	2025	18:40:00		No especificado	Otros
30	4	2025	20:09	Dunnellon	EEUU	Otros
30	4	2025	13:51	Rocklin	EEUU	Otros
29	4	2025	3:00	Coombe Bissett	Reino Unido	Otros
27	4	2025	20:50	Chandler	EEUU	Otros
27	4	2025	20:29	Corpus Christi	EEUU	Otros
27	4	2025	13:45	Chicago	EEUU	Otros
25	4	2025	21:06	Wilmer	EEUU	Otros
24	4	2025	20:25	Pomerene	EEUU	Otros
23	4	2025	0:10	Baguio	Philippines	Otros
22	4	2025	21:47	Robertsburg	EEUU	Otros
21	4	2025	20:57	Greenville	EEUU	Otros
20	4	2025	19:00	Thành phố Lạng Sơn	Vietnam	Otros
20	4	2025	12:09	San Francisco	EEUU	Otros
17	4	2025	7:08	Wantagh	EEUU	Otros
15	4	2025	19:15		Bangladés	Otros
15	4	2025	17:00	Bridgnorth	Reino Unido	Otros
14	4	2025	16:05	Ocean Shores	EEUU	Otros
12	4	2025	22:20:00	Phoenix	EEUU	Otros
12	4	2025	20:47:00	Toronto	Canada	Otros
10	4	2025	21:13:00	East Wenatchee	EEUU	Otros
9	4	2025	20:23:00	Athens	EEUU	Otros
8	4	2025	22:50:00	San Pablo	EEUU	Otros
7	4	2025	19:06:00	Tacoma	EEUU	Otros
5	4	2025	21:25:00	Edmonton	Canada	Otros
4	4	2025	22:55:00	Worcester	EEUU	Otros
4	4	2025	21:01:00	Colebrook	EEUU	Otros
4	4	2025	21:00:00	Porterville	EEUU	Otros
2	4	2025	23:59:00	Sumrall	EEUU	Otros
28	3	2025	20:25	Palatinado	EEUU	Otros
26	3	2025	8:00	Lynnwood	EEUU	Otros
25	3	2025	22:31	West Drayton	Reino Unido	Otros
25	3	2025	20:44	Dundee	EEUU	Otros
25	3	2025	0:00	Bosque	EEUU	Otros
22	3	2025	16:00	Manantiales Green Cove	EEUU	Otros
15	3	2025	16:30	Dickinson	EEUU	Otros
12	3	2025	12:51:00	Steelton	EEUU	Otros
8	3	2025	21:13:00	Clontarf	Australia	Otros
4	3	2025	17:55:00	Gaithersburg	EEUU	Otros
28	2	2025	21:30	Watertown	EEUU	Otros
28	2	2025	19:30	Joppatowne	EEUU	Otros
22	2	2025	22:21	Florencia	EEUU	Otros
22	2	2025	5:50	Ciudad de Lenoir	EEUU	Otros
21	2	2025	21:00	North Charleston	EEUU	Otros
19	2	2025	16:30	Ukiah	EEUU	Otros
18	2	2025	22:00	Des Moines	EEUU	Otros
16	2	2025	18:20	Folsom	EEUU	Otros
16	2	2025	16:30	Centenario	EEUU	Otros
15	2	2025	23:56	Denver	EEUU	Otros
14	2	2025	13:20	Gahanna	EEUU	Otros
7	2	2025	12:00:00	Spokane	EEUU	Otros
5	2	2025	0:00:00	Burien	EEUU	Otros
4	2	2025	22:29:00	Odum	EEUU	Otros
4	2	2025	19:54:00	Mġarr	Malta	Otros
30	1	2025	19:10	Entrada de Murrells	EEUU	Otros
29	1	2025	19:47	Fairwood	EEUU	Otros
28	1	2025	21:02	Waukesha	EEUU	Otros
28	1	2025	19:30	Robles Circulares	EEUU	Otros
28	1	2025	17:40	Huntsville	EEUU	Otros
27	1	2025	21:30	Atenas	EEUU	Otros
26	1	2025	0:37	Leeds	EEUU	Otros
25	1	2025	22:20	Tucson	EEUU	Otros
24	1	2025	18:45	Kiev	Ucrania	Otros
23	1	2025	20:27	East Norriton	EEUU	Otros
19	1	2025	22:15	Valle Verde	EEUU	Otros
18	1	2025	18:54	Richmond	EEUU	Otros
18	1	2025	18:15	Sunkarametta	India	Otros
16	1	2025	23:46	Victoria	Canadá	Otros
14	1	2025	22:14	Sacramento	EEUU	Otros
12	1	2025	12:14:00	Ciudad Jardín de Welwyn	Reino Unido	Otros
11	1	2025	1:20:00	Denver	EEUU	Otros
9	1	2025	18:25:00	Playa Myrtle	EEUU	Otros
7	1	2025	22:02:00	Iowa City	EEUU	Otros
6	1	2025	14:50:00	Ridgeland	EEUU	Otros
5	1	2025	19:45:00	Owensboro	EEUU	Otros
5	1	2025	16:00:00	Burlington	EEUU	Otros
4	1	2025	19:00:00	Carrollton	EEUU	Otros
3	1	2025	21:00:00	Isla Pawleys	EEUU	Otros
3	1	2025	20:49:00	Newcastle upon Tyne	Reino Unido	Otros
3	1	2025	18:00:00	Arden-Arcade	EEUU	Otros
3	1	2025	9:50:00	Deming	EEUU	Otros
2	1	2025	23:42:00	Chanhassen	EEUU	Otros
2	1	2025	20:47:00	Narrowsburg	EEUU	Otros
1	1	2025	17:44:00	Sonora	EEUU	Otros
31	12	2024	22:10	Charlotte	EEUU	Otros
30	12	2024	18:42	Covington	EEUU	Otros
30	12	2024	17:52	Cantón	EEUU	Otros
27	12	2024	18:11	Cataratas del Niágara	Canadá	Otros
26	12	2024	19:13	Trenton	EEUU	Otros
26	12	2024	19:00	Montague	EEUU	Otros
26	12	2024	10:30		No especificado	Otros
26	12	2024	9:30	Madrás	EEUU	Otros
24	12	2024	19:30	Vivian	EEUU	Otros
23	12	2024	19:30	Methuen	EEUU	Otros
23	12	2024	18:40	Arlington	EEUU	Otros
22	12	2024	17:30	Federico	EEUU	Otros
21	12	2024	20:47	Rochester	EEUU	Otros
21	12	2024	18:00	Cedarburg	EEUU	Otros
20	12	2024	21:40		Reino Unido	Otros
20	12	2024	21:22	Ukiah	EEUU	Otros
20	12	2024	20:25	Franksville	EEUU	Otros
18	12	2024	21:20	Jacksonville	EEUU	Otros
18	12	2024	20:40	Portland	EEUU	Otros
17	12	2024	19:32	Gostivar	Macedonia del Norte	Otros
17	12	2024	18:01	Nueva York	EEUU	Otros
17	12	2024	18:00	Elkton	EEUU	Otros
17	12	2024	2:19	Fort Worth	EEUU	Otros
16	12	2024	23:09	Lençóis Paulista	Brazil	Otros
16	12	2024	19:02	San Luis Obispo	EEUU	Otros
16	12	2024	18:30	Livorno Ferraris	Italy	Otros
16	12	2024	18:07	Kreuzau	Alemania	Otros
16	12	2024	17:35	Maltby	EEUU	Otros
15	12	2024	21:18	Willard	EEUU	Otros
14	12	2024	20:53	Village of Clarkston	EEUU	Otros
14	12	2024	12:20	Kyiv	Ucrania	Otros
14	12	2024	11:00	Peoria	EEUU	Otros
14	12	2024	2:30	Canfield	EEUU	Otros
13	12	2024	23:43	Edmonton	Canada	Otros
13	12	2024	23:00	Raymond	EEUU	Otros
13	12	2024	22:39	Castle Shannon	EEUU	Otros
13	12	2024	18:35	Greenwood Lake	EEUU	Otros
12	12	2024	21:20:00	Barryville	EEUU	Otros
12	12	2024	19:57:00	Champlin	EEUU	Otros
11	12	2024	19:36:00	Hana	EEUU	Otros
11	12	2024	16:30:00	Roanoke	EEUU	Otros
10	12	2024	19:00:00	Hanahan	EEUU	Otros
9	12	2024	19:50:00	Waynesboro	EEUU	Otros
9	12	2024	9:30:00	Dallas	EEUU	Otros
8	12	2024	20:00:00	Pleasanton	EEUU	Otros
8	12	2024	19:40:00	Toledo	EEUU	Otros
6	12	2024	19:00:00	Espejo	EEUU	Otros
3	12	2024	17:45:00	Logia Rose	EEUU	Otros
1	12	2024	23:15:00	Columbia	EEUU	Otros
28	11	2024	22:45	Dumbarton	Reino Unido	Otros
26	11	2024	21:30	Köngäs	Finlandia	Otros
26	11	2024	19:00	Springfield	EEUU	Otros
24	11	2024	20:55	Boise	EEUU	Otros
24	11	2024	20:55	Boise	EEUU	Otros
21	11	2024	17:38	Fredericksburg	EEUU	Otros
19	11	2024	20:30	San Jacobo	EEUU	Otros
18	11	2024	22:29	Madera a la deriva	EEUU	Otros
17	11	2024	18:00	Millbrook	EEUU	Otros
16	11	2024	21:45	Hessle	Reino Unido	Otros
12	11	2024	18:00:00	Atoka	EEUU	Otros
11	11	2024	16:10:00	Orangevale	EEUU	Otros
11	11	2024	13:00:00	Phoenix	EEUU	Otros
9	11	2024	2:56:00	Parque Lincoln	EEUU	Otros
8	11	2024	5:25:00	Russell	EEUU	Otros
7	11	2024	22:13:00	Murrieta	EEUU	Otros
7	11	2024	10:00:00	Summerfield	EEUU	Otros
3	11	2024	3:00:00	Lakewood	EEUU	Otros
1	11	2024	19:00:00	Estillfork	EEUU	Otros
31	10	2024	21:30	Barnesville	EEUU	Otros
31	10	2024	6:41	Allen	EEUU	Otros
28	10	2024	11:15	Londres	EEUU	Otros
28	10	2024	10:00		Francia	Otros
27	10	2024	4:55	Davis	EEUU	Otros
26	10	2024	20:43	Parma	EEUU	Otros
25	10	2024	18:30	Heiligenkreuz am Waasen	Austria	Otros
24	10	2024	17:50	Manantial Glade	EEUU	Otros
24	10	2024	6:27	Ciudad Cueva	EEUU	Otros
23	10	2024	20:30	Flecha rota	EEUU	Otros
21	10	2024	22:35	Freetown	EEUU	Otros
21	10	2024	19:05	Auburn	EEUU	Otros
18	10	2024	19:39	Windham	EEUU	Otros
17	10	2024	19:00	Lago Moses	EEUU	Otros
17	10	2024	18:12	臺中市	Taiwán	Otros
11	10	2024	22:35:00	Łódź	Polonia	Otros
11	10	2024	14:15:00	Molinos Owings	EEUU	Otros
11	10	2024	3:30:00	Rancho Murieta	EEUU	Otros
10	10	2024	23:00:00	Wilmington	EEUU	Otros
10	10	2024	20:30:00	New Ross	Irlanda	Otros
8	10	2024	21:00:00	Endicott	EEUU	Otros
6	10	2024	21:15:00	Molalla	EEUU	Otros
6	10	2024	21:15:00	Molalla	EEUU	Otros
5	10	2024	0:00:00	Albright	EEUU	Otros
30	9	2024	18:45	Tres Piedras	EEUU	Otros
24	9	2024	13:56	Los Ángeles	EEUU	Otros
21	9	2024	17:21	Brasil	EEUU	Otros
16	9	2024	10:00	Surrey	Canadá	Otros
15	9	2024	18:20	Trenton	EEUU	Otros
13	9	2024	6:33	Poole	Reino Unido	Otros
13	9	2024	5:40	Waxahachie	EEUU	Otros
11	9	2024	19:25:00	Questa	EEUU	Otros
9	9	2024	18:00:00	Greer	EEUU	Otros
4	9	2024	19:06:00	Hannover	EEUU	Otros
3	9	2024	7:20:00	Payson	EEUU	Otros
31	8	2024	23:45	Nacogdoches	EEUU	Otros
28	8	2024	21:23	Manantiales de Mardela	EEUU	Otros
26	8	2024	21:17	Las Vegas	EEUU	Otros
25	8	2024	18:40	Las Vegas	EEUU	Otros
21	8	2024	3:00	Tampa	EEUU	Otros
18	8	2024	4:00	Albuquerque	EEUU	Otros
15	8	2024	16:30	Ferndale	EEUU	Otros
13	8	2024	12:12	Pittsburgh	EEUU	Otros
9	8	2024	16:15:00	Waverly	EEUU	Otros
30	7	2024	20:15	Ramal Sur	EEUU	Otros
28	7	2024	14:07	Vidor	EEUU	Otros
18	7	2024	13:25	South Bend	EEUU	Otros
17	7	2024	4:00	Conroe	EEUU	Otros
17	7	2024	1:01	Su Zhou Shi	China	Otros
13	7	2024	3:00	Bolívar	EEUU	Otros
9	7	2024	23:23:00	Bowie	EEUU	Otros
8	7	2024	21:30:00	Duns	Reino Unido	Otros
4	7	2024	21:30:00	Johnstown	EEUU	Otros
30	6	2024	23:00	Port Angeles	EEUU	Otros
