DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
14	2	2026	2:00	Verde pino	EEUU	Rectángulo
11	2	2026	23:30:00	Black Diamond	EEUU	Rectángulo
28	1	2026	18:30	Birmingham	Reino Unido	Rectángulo
22	1	2026	15:15	Schenectady	EEUU	Rectángulo
13	1	2026	22:39	No especificado	Brasil	Rectángulo
30	12	2025	19:00	Des Moines	EEUU	Rectángulo
26	12	2025	19:15	Flitwick	Reino Unido	Rectángulo
15	12	2025	5:59	Swedesboro	EEUU	Rectángulo
14	12	2025	0:48	Albuquerque	EEUU	Rectángulo
13	12	2025	10:01	Eagan	EEUU	Rectángulo
8	12	2025	8:11:00	Lućmierz-Las	Polonia	Rectángulo
6	12	2025	18:12:00	Lac du Flambeau	EEUU	Rectángulo
30	11	2025	19:30	Portland	EEUU	Rectángulo
22	11	2025	19:30	Portland	EEUU	Rectángulo
22	11	2025	17:02	West Chester	EEUU	Rectángulo
15	11	2025	5:00	Jefferson	EEUU	Rectángulo
14	11	2025	16:00	No especificado	Tailandia	Rectángulo
7	11	2025	18:00:00	Huntington	EEUU	Rectángulo
4	11	2025	18:00:00	Kennett Square	EEUU	Rectángulo
27	10	2025	18:50	Maitland	EEUU	Rectángulo
21	10	2025	21:15	Yangon	Myanmar (Birmania)	Rectángulo
16	10	2025	5:35	Springfield	EEUU	Rectángulo
16	10	2025	5:35	Sacramento	EEUU	Rectángulo
15	10	2025	20:12	Parque Lincoln	EEUU	Rectángulo
14	10	2025	21:00	Amarillo	EEUU	Rectángulo
8	10	2025	23:33:00	Jardines Clifton	EEUU	Rectángulo
3	10	2025	0:00:00	Los Alamitos	EEUU	Rectángulo
25	9	2025	16:50	Cataratas de Idaho	EEUU	Rectángulo
20	9	2025	21:00	Brandon	Canadá	Rectángulo
19	9	2025	9:30	Chillicothe	EEUU	Rectángulo
11	9	2025	21:45:00	Roma	EEUU	Rectángulo
5	9	2025	17:00:00	Milford	EEUU	Rectángulo
4	9	2025	0:06:00	Norfolk	EEUU	Rectángulo
24	8	2025	22:25	San Juan	Puerto Rico	Rectángulo
20	8	2025	1:53	Lamar	EEUU	Rectángulo
19	8	2025	9:50	Quatro Barras	Brasil	Rectángulo
16	8	2025	2:15	Acushnet	EEUU	Rectángulo
15	8	2025	21:25	North Canton	EEUU	Rectángulo
12	8	2025	22:37:00	Orangeville	EEUU	Rectángulo
11	8	2025	11:14:00	San Carlos	EEUU	Rectángulo
10	8	2025	21:30:00	Oxford	EEUU	Rectángulo
10	8	2025	20:49:00	Playa Old Orchard	EEUU	Rectángulo
5	8	2025	17:00:00	Offerle	EEUU	Rectángulo
1	8	2025	20:28:00	Gillingham	Reino Unido	Rectángulo
30	7	2025	5:20	Gainesville	EEUU	Rectángulo
23	7	2025	22:47	Březí	Chequia	Rectángulo
19	7	2025	23:15	Boise	EEUU	Rectángulo
19	7	2025	16:05	Nový Šaldorf-Sedlešovice	Chequia	Rectángulo
19	7	2025	2:00	Altamont	EEUU	Rectángulo
18	7	2025	0:30	Driggs	EEUU	Rectángulo
17	7	2025	4:30	Spokane	EEUU	Rectángulo
10	7	2025	23:05:00	Mississauga	Canadá	Rectángulo
3	7	2025	2:48:00	Norton	Canadá	Rectángulo
2	7	2025	4:39:00	Aberdeen	EEUU	Rectángulo
2	7	2025	4:10:00	Portland	EEUU	Rectángulo
2	7	2025	4:08:00	Springfield	EEUU	Rectángulo
2	7	2025	3:37:00	Aurora	EEUU	Rectángulo
1	7	2025	23:00:00	Elgin	EEUU	Rectángulo
29	6	2025	17:01	Manassas	EEUU	Rectángulo
29	6	2025	15:41	Richmond	EEUU	Rectángulo
25	6	2025	22:25	Eastham	EEUU	Rectángulo
25	6	2025	7:58	Parque St. Louis	EEUU	Rectángulo
26	5	2025	11:37	CIUDAD GLOUCSTR	EEUU	Rectángulo
24	5	2025	20:00	Corralitos	EEUU	Rectángulo
23	5	2025	20:00	Toronto	Canadá	Rectángulo
18	5	2025	21:27	San Francisco	EEUU	Rectángulo
17	5	2025	12:50	Nokesville	EEUU	Rectángulo
14	5	2025	21:55	Waco	EEUU	Rectángulo
10	5	2025	0:56:00	Beaumont	EEUU	Rectángulo
5	5	2025	19:21:00	Auburn	EEUU	Rectángulo
4	5	2025	21:58:00	Düzce Merkez	Turquía	Rectángulo
1	5	2025	22:00:00	Owasso	EEUU	Rectángulo
1	5	2025	20:30:00	Tempe	EEUU	Rectángulo
25	4	2025	21:30	Madison	EEUU	Rectángulo
17	4	2025	10:15	Salem	EEUU	Rectángulo
9	4	2025	23:06:00	Centro del Valle	EEUU	Rectángulo
9	4	2025	18:30:00	Jerseyville	EEUU	Rectángulo
25	3	2025	20:30	Hollywood	EEUU	Rectángulo
25	3	2025	9:00	Bristol	EEUU	Rectángulo
24	3	2025	21:00	Kortenaken	Bélgica	Rectángulo
21	3	2025	19:30	Plymouth	EEUU	Rectángulo
20	3	2025	22:54	Duluth	EEUU	Rectángulo
20	3	2025	21:26	Harrow	Reino Unido	Rectángulo
18	3	2025	20:20	Eugene	EEUU	Rectángulo
2	3	2025	14:01:00	Proctor	EEUU	Rectángulo
23	2	2025	21:00	Diboll	EEUU	Rectángulo
21	2	2025	22:14	Mechanicville	EEUU	Rectángulo
21	2	2025	21:58	Springfield	EEUU	Rectángulo
17	2	2025	22:15	Yoshkar-Ola	Rusia	Rectángulo
10	2	2025	19:22:00	New Paltz	EEUU	Rectángulo
6	2	2025	15:00:00	Tempe	EEUU	Rectángulo
27	1	2025	12:45	Bremerton	EEUU	Rectángulo
22	1	2025	23:43	Anacapri	Italia	Rectángulo
21	1	2025	23:46	Anacapri	Italia	Rectángulo
21	1	2025	20:00	Bosque	EEUU	Rectángulo
9	1	2025	12:30:00	San José	Argentina	Rectángulo
6	1	2025	23:26:00	Embro	Canadá	Rectángulo
5	1	2025	23:14:00	Chapel Hill	EEUU	Rectángulo
2	1	2025	20:00:00	Edimburgo	Reino Unido	Rectángulo
30	12	2024	0:42	Turlock	EEUU	Rectángulo
28	12	2024	20:30	Tucson	EEUU	Rectángulo
28	12	2024	19:50	Urbana	EEUU	Rectángulo
21	12	2024	21:21	Lago Paint	Canadá	Rectángulo
