DÍA	MES	AÑO	HORA	CIUDAD	PAÍS	FORMA
25	2	2026	23:15	Dubnica nad Váhom	Eslovaquia	Triángulo
25	2	2026	19:30	Ellenton	EEUU	Triángulo
24	2	2026	20:45	Derby	Reino Unido	Triángulo
24	2	2026	6:00	Havelock	EEUU	Triángulo
20	2	2026	20:11	Hendersonville	EEUU	Triángulo
16	2	2026	8:46	Odesa	EEUU	Triángulo
16	2	2026	3:20	Saskatoon	Canadá	Triángulo
14	2	2026	21:40	Cinnaminson	EEUU	Triángulo
8	2	2026	22:00:00	Hamzali	Azerbaiyán	Triángulo
8	2	2026	14:48:00	Estación Smiths	EEUU	Triángulo
7	2	2026	18:15:00	Byhalia	EEUU	Triángulo
7	2	2026	5:30:00	Módulo de aterrizaje	EEUU	Triángulo
5	2	2026	17:48:00	Selva Negra	EEUU	Triángulo
5	2	2026	17:41:00	Poughkeepsie	EEUU	Triángulo
4	2	2026	22:21:00	Addis Abeba	Etiopía	Triángulo
3	2	2026	19:18:00	Maumelle	EEUU	Triángulo
3	2	2026	17:45:00	Brentwood	EEUU	Triángulo
1	2	2026	17:15:00	Wishram	EEUU	Triángulo
1	2	2026	14:54:00	Campo Grande	Brasil	Triángulo
1	2	2026	6:30:00	West Pensacola	EEUU	Triángulo
31	1	2026	20:30	Sebastopol	EEUU	Triángulo
28	1	2026	18:21	Crosne	Francia	Triángulo
28	1	2026	16:45	Greenwood	Canadá	Triángulo
23	1	2026	23:22	São Paulo	Brasil	Triángulo
18	1	2026	19:06	Fletcher	EEUU	Triángulo
16	1	2026	18:50	Tempe	EEUU	Triángulo
14	1	2026	22:24	Umatilla	EEUU	Triángulo
13	1	2026	19:47	Havelock	EEUU	Triángulo
13	1	2026	5:50	Aiken	EEUU	Triángulo
12	1	2026	22:26:00	Ubatuba	Brasil	Triángulo
12	1	2026	21:58:00	No especificado	Aguas Internacionales	Triángulo
12	1	2026	19:44:00	Embu das Artes	Brasil	Triángulo
8	1	2026	23:59:00	Buford	EEUU	Triángulo
8	1	2026	18:22:00	Knoxville	EEUU	Triángulo
8	1	2026	16:42:00	Chicago	EEUU	Triángulo
6	1	2026	11:00:00	Brandon	EEUU	Triángulo
4	1	2026	17:33:00	Eastleigh	Reino Unido	Triángulo
2	1	2026	18:27:00	Georgetown	EEUU	Triángulo
2	1	2026	2:00:00	Stockton	EEUU	Triángulo
1	1	2026	21:50:00	Manacapuru	Brasil	Triángulo
28	12	2025	22:10	Richland	EEUU	Triángulo
28	12	2025	18:45	Münzenberg	Alemania	Triángulo
25	12	2025	22:36	Abads Bromley	Reino Unido	Triángulo
25	12	2025	22:10	East Islip	EEUU	Triángulo
24	12	2025	5:40	Ellicott City	EEUU	Triángulo
21	12	2025	11:20	Randall County	EEUU	Triángulo
15	12	2025	19:31	Fletcher	EEUU	Triángulo
14	12	2025	18:20	Sønderborg	Denmark	Triángulo
14	12	2025	17:20	Guntersville	EEUU	Triángulo
14	12	2025	0:34	Ridgeland	EEUU	Triángulo
13	12	2025	22:59	Centennial	EEUU	Triángulo
13	12	2025	22:10	Bulkington	Reino Unido	Triángulo
13	12	2025	21:53	Chiefland	EEUU	Triángulo
12	12	2025	20:50:00	Salto	Uruguay	Triángulo
10	12	2025	0:00:00	Clifton Park	EEUU	Triángulo
9	12	2025	20:55:00	Santa Monica	EEUU	Triángulo
8	12	2025	19:57:00	West Hurley	EEUU	Triángulo
8	12	2025	18:30:00	Corpus Christi	EEUU	Triángulo
8	12	2025	17:59:00	Ardmore	EEUU	Triángulo
6	12	2025	21:50:00	Kannapolis	EEUU	Triángulo
6	12	2025	18:30:00	Memphis	EEUU	Triángulo
3	12	2025	21:55:00	Pittman Center	EEUU	Triángulo
30	11	2025	5:45	Fort Lauderdale	EEUU	Triángulo
29	11	2025	21:45	Morinville	Canadá	Triángulo
29	11	2025	4:26	Fairhope	EEUU	Triángulo
28	11	2025	18:07	Albuquerque	EEUU	Triángulo
27	11	2025	1:00	Oxford	EEUU	Triángulo
26	11	2025	12:00	Manor	EEUU	Triángulo
26	11	2025	6:18	Queenborough	Reino Unido	Triángulo
26	11	2025	6:13	Queenborough	Reino Unido	Triángulo
26	11	2025	2:00	Tucson	EEUU	Triángulo
22	11	2025	22:00	Cedar City	EEUU	Triángulo
